article_name,cleaned,quantity,final_brand,class1,class2,type,cleaned_more,get_cleaned
super gummy c&l iron & vitamins pp 102g, c&l iron & vitamins pp ,102g,super gummy,stationery,toys stationery,type: vitamins, c&l iron & pp ,['iron']
cantina h&e 6 tortillas xl pp 360g, h&e 6 tortillas xl pp ,360g,cantina,stationery,toys stationery,flavor: tortillas, h&e 6 xl pp ,[]
danisa cookies butter tn 200g, cookies butter tn ,200g,danisa,chocolates cakes confectioneries,branded food,flavor: butter flavor: cookies, tn ,[]
saffola masala oats italian 39g, masala oats italian ,39g,saffola,breakfast cereals,branded food,flavor: oats, masala italian ,"['masala', 'italian']"
colour nat hrclr drkest brwn no3 100ml,colour nat hrclr drkest brwn no ,3 100ml,,stationery,toys stationery,,colour nat hrclr drket brwn no ,"['colour', 'nat']"
foodex soya katori chatpati namkeen 100g, soya katori chatpati namkeen ,100g,foodex,chocolates cakes confectioneries,branded food,flavor: soya flavor: namkeen, katori chatpati ,[]
sunfeast farmlite oats & almond biscuits 75g, farmlite oats & almond ,75g,sunfeast,biscuits cookies crackers,branded food,flavor: almond flavor: oats, farmlite & ,[]
unibic sugarfree oatmeal cookies 75g, sugarfree oatmeal ,75g,unibic,biscuits cookies crackers,branded food,flavor: oatmeal, sugarfree ,[]
glucon-d orange drink mix 100g, orange ,100g,glucon-d,fun drink mix,beverages,flavor: orange color: orange, ,[]
glucon d nimbu pani 450g,glucon d nimbu pani ,450g,glucon-d,chocolates cakes confectioneries,branded food,flavor: nimbu,glucon d pani ,[]
organic india orgain tulsi tea bag 25g, orgain tulsi tea bag ,25g,organic india,otc,beauty personal care,type: bag, orgain tulsi tea ,['tea']
thins original flavour rice wafers 100g, original flavour rice wafers ,100g,thins,breakfast cereals,branded food,flavor: rice, original flavour wafers ,"['original', 'flavour', 'wafers']"
rostaa morning berries pp 35g, morning berries pp ,35g,rostaa,freshners repellents,home hygiene,flavor: berries, morning pp ,['morning']
rostaa roasted salted pistachio pp 35g, roasted salted pistachio pp ,35g,rostaa,chips namkeens snacks,branded food,flavor: roasted flavor: pistachio, salted pp ,['salted']
flying bird kewra essence 20ml, kewra essence ,20ml,flying bird,masala spices,grocery,, kewra eence ,[]
flying bird ripe mango essence 20ml, ripe mango essence ,20ml,flying bird,masala spices,grocery,flavor: mango, ripe essence ,"['ripe', 'essence']"
maggi ndl cuppa chili chow 70g, ndl cuppa chili chow ,70g,maggi,noodles pastas vermicelli,branded food,flavor: chili, ndl cuppa chow ,"['cuppa', 'chow']"
parle hide & seek american butter cookies 200g, hide & seek american butter ,200g,parle,biscuits cookies crackers,branded food,flavor: butter, hide & seek american ,"['hide', 'seek', 'american']"
patanjali honey 1kg, ,1kg,patanjali,jams spreads honey,branded food,, ,[]
priya gold biscuits 200g, gold ,200g,priya,biscuits cookies crackers,branded food,, gold ,['gold']
revive starch 50g, starch ,50g,revive,laundry,home hygiene,, tarch ,[]
clmt air freshener jasmine hang bx 50g, air freshener jasmine hang bx ,50g,clmt,freshners repellents,home hygiene,flavor: jasmine type: freshener, air hang bx ,"['air', 'hang']"
clmt plastic disp garbage bag 10p b1g1, plastic disp garbage bag b1g1,10p,clmt,stationery,toys stationery,type: bag, plastic disp gare b1g1,"['plastic', 'gare']"
axe deo signature champion bx 122ml, deo champion bx ,122ml,axe signature,deos perfumes,beauty personal care,, deo champion bx ,"['deo', 'champion']"
yummiez chicken lucknowi shek kabab 400g, chicken lucknowi shek kabab ,400g,yummiez,ready to eat,branded food,flavor: kabab flavor: chicken, lucknowi shek ,['shek']
yummiez frozen chicken keema pp 300g, chicken keema pp ,300g,yummiez,frozen veg,branded food,flavor: keema flavor: chicken, pp ,[]
vaseline bdy ltn int cr hlthy w lgh 40m, bdy ltn int cr hlthy w lgh 40m,,vaseline,toys,toys stationery,, bdy ltn int cr hlthy w lgh 40m,['int']
beeta napkin dinner paper plain 50s, napkin dinner paper plain ,50s,beeta,stationery,toys stationery,type: napkin, dinner paper plain ,"['dinner', 'paper', 'plain']"
appy fizz apple soft drink 250ml, apple drink ,250ml,appy fizz,soft drinks,beverages,flavor: apple, drink ,['drink']
tic tac peach passion 10.7g, peach passion ,10.7g,tic tac,chocolates cakes confectioneries,branded food,flavor: peach, passion ,['passion']
vrka pio botls stbry,vrka pio botls stbry,,,toys,toys stationery,,vrka pio botl tbry,['pio']
pepsi soft drink black diet cola can 250ml, drink black diet cola can ,250ml,pepsi,soft drinks,beverages,color: black, drink diet cola can ,"['drink', 'diet', 'cola']"
koka noodles chicken satay flavour 85g, chicken satay flavour ,85g,koka,noodles pastas vermicelli,branded food,flavor: chicken, satay flavour ,"['satay', 'flavour']"
gowardhan milk gold pp 1l, milk gold pp ,1l,gowardhan,chocolates cakes confectioneries,branded food,flavor: milk, gold pp ,['gold']
alpenliebe cand juzt jelly mango 185g, cand juzt jelly mango ,185g,alpenliebe,chocolates cakes confectioneries,branded food,flavor: jelly flavor: mango, cand juzt ,[]
del monte prunes california prem pp 210g, prunes california prem pp ,210g,del monte,canned tinned food,branded food,flavor: prunes, california prem pp ,"['california', 'prem']"
cadbury bournville raisin nut chocolate 80g,cadbury raisin nut chocolate ,80g,bournville,chocolates cakes confectioneries,branded food,flavor: raisin flavor: chocolate type: chocolate,cadbury nut ,"['cadbury', 'nut']"
grandos caf, caf,,grandos,chocolates cakes confectioneries,branded food,, caf,['caf']
panchamrit flvr milk energy bt 200ml, flvr milk energy bt ,200ml,panchamrit,soft drinks,beverages,flavor: milk, flvr energy bt ,['energy']
london dairy icecrm ntrl stwbry cp 125ml, crm ntrl stwbry cp ,125ml,london dairy,ice cream desserts,branded food,, crm ntrl twbry cp ,[]
real juice pvc bag indian gift pack 3*1l, juice pvc bag indian gift pack ,3*1l,real,fruit juices drinks,beverages,flavor: juice type: bag type: pvc, indian gift pack ,"['indian', 'gift', 'pack']"
kitchens of india redymelnavrtnkorma285g, redymelnavrtnkorma,285g,kitchens of india,pickles chutneys,branded food,, redymelnavrtnkorma,[]
dnu salsalito tortilla chips chilli 150g,dnu tortilla chilli ,150g,salsalito,chips namkeens snacks,branded food,flavor: chilli flavor: tortilla,dnu ,[]
bikano namk meetha chatpata 776g gp, namk meetha chatpata p,776g g,bikano,chips namkeens snacks,branded food,, namk meetha chatpata p,[]
ph urad chilka pp 500g,ph urad chilka pp ,500g,,chocolates cakes confectioneries,branded food,flavor: urad,ph chilka pp ,[]
choice fry n eat papad triangle 150g, fry n eat papad triangle ,150g,easy choice,baking dessert mixes,branded food,flavor: papad, fry n eat triangle ,"['fry', 'eat', 'triangle']"
mr muscle all purp kitchen trigger 500m, all purp kitchen trigger 500m,,mr muscle,home cleaning,home hygiene,, all purp kitchen trigger 500m,"['kitchen', 'trigger']"
mccains frz snk vegie brgr patty pp 360g, frz snk vegie brgr patty pp ,360g,mccains,toys,toys stationery,flavor: vegie flavor: patty, frz snk brgr pp ,[]
opp pocket comb,opp pocket comb,,,home cleaning,home hygiene,,opp pocket comb,"['opp', 'pocket', 'comb']"
mr muscle glass & househld cleanr 500m, glass & househld cleanr 500m,,mr muscle,home cleaning,home hygiene,, gla & houehld cleanr 500m,['gla']
clear complete active care anti dandruff shampoo 80 ml, complete active anti dandruff shampoo ,80 ml,clear,hair care,beauty personal care,type: shampoo, complete active anti dandruff ,"['complete', 'active', 'anti', 'dandruff']"
clean&dry body wash intimate bt 90ml,& body wash intimate bt ,90ml,clean and dry,skin care,beauty personal care,type: wash,& body intimate bt ,"['body', 'intimate']"
prim microfiber multipurpose gloves, microfiber multipurpose gloves,,prim,cleaning accessories,home hygiene,type: gloves type: microfiber, multipurpose ,['multipurpose']
gm food moong tawa chilla pp 400g,gm moong tawa chilla pp ,400g,food bazaar,masala spices,grocery,flavor: moong flavor: tawa,gm chilla pp ,[]
gm food bedmi chatni longi pp 100g,gm bedmi chatni longi pp ,100g,food bazaar,masala spices,grocery,,gm bedmi chatni longi pp ,[]
engage deo urge man cn 150ml, deo urge man cn ,150ml,engage,deos perfumes,beauty personal care,, deo urge man cn ,"['deo', 'urge', 'man']"
gh daily rajma chitra white 1kg,gh daily rajma chitra white ,1kg,mr.white,skin care,beauty personal care,flavor: rajma color: white flavor: chitra,gh daily ,['daily']
gh daily urad dal prem 500g,gh daily urad dal prem ,500g,,chocolates cakes confectioneries,branded food,flavor: urad flavor: dal,gh daily prem ,"['daily', 'prem']"
cadbury bournvita lil champ health drink jar 200g, bournvita lil champ drink jar ,200g,cadbury,health drinks,beverages,, bournvita lil champ drink jar ,"['lil', 'champ', 'drink', 'jar']"
gh who spice black cardamm 20g,gh who black cardamm ,20g,old spice,freshners repellents,home hygiene,color: black,gh who cardamm ,[]
gh daily who spice rai 100g,gh daily who rai ,100g,old spice,freshners repellents,home hygiene,,gh daily who rai ,"['daily', 'rai']"
sunsilk nourishing soft & smooth conditioner 80 ml, nourishing soft & smooth conditioner ,80 ml,sunsilk,hair care,beauty personal care,type: conditioner, nourishing soft & smooth ,"['nourishing', 'soft', 'smooth']"
mayb lip smooth balm berry crush 4.5g,mayb lip smooth balm berry crush ,4.5g,,skin care,beauty personal care,flavor: berry,mayb lip smooth balm crush ,"['lip', 'smooth', 'balm', 'crush']"
maggi sauce tomato 200g, sauce tomato ,200g,maggi,dals pulses,grocery,flavor: tomato flavor: sauce, ,[]
bounty chocolates value pack pp 171g, value pack pp ,171g,bounty,chocolates cakes confectioneries,branded food,, value pack pp ,"['value', 'pack']"
delicious frozen pop corn bonless 250g, pop corn bonless ,250g,delicious,frozen veg,branded food,flavor: corn, pop bonless ,['pop']
delicious frozen nuggets classic 500g, nuggets classic ,500g,delicious,frozen veg,branded food,, nugget claic ,['nugget']
daawat basmati rice pulav pp 1kg, basmati rice pulav pp ,1kg,daawat,organic grains,grocery,flavor: rice flavor: basmati, pulav pp ,[]
dawat basmati rice biryani pp 1kg,dawat basmati rice biryani pp ,1kg,,organic grains,grocery,flavor: rice flavor: basmati flavor: biryani,dawat pp ,[]
desi atta bhagar shamak varai pp 200g, bhagar shamak varai pp ,200g,desi atta company,chocolates cakes confectioneries,branded food,, bhagar hamak varai pp ,[]
desi atta rava dosa pp 500g, rava dosa pp ,500g,desi atta company,baby food,baby care,flavor: rava flavor: dosa, pp ,[]
johnsons shmp actv kids sft&smth bt 100m,johnsons shmp actv kids sft&smth bt 100m,,,toys,toys stationery,,johnon hmp actv kid ft&mth bt 100m,['kid']
desi atta co peri peri idli mix pp 200g, co peri peri idli mix pp ,200g,desi atta company,chips namkeens snacks,branded food,flavor: idli, co peri peri mix pp ,"['peri', 'peri', 'mix']"
haldiram namkeen lemon bhel pp 150g, namkeen lemon bhel pp ,150g,haldiram s,chips namkeens snacks,branded food,flavor: bhel flavor: lemon flavor: namkeen, pp ,[]
dove shmp regenerative repair tube 240ml, shmp regenerative repair tube ,240ml,dove,hair care,beauty personal care,, hmp regenerative repair tube ,"['regenerative', 'repair', 'tube']"
kwality wa ice crm tuti frty 700m 1+1 op, wa crm tuti frty 700m ,1+1 op,kwality walls,ice cream desserts,branded food,, wa crm tuti frty 700m ,[]
kw magnum chotruffle 90m,kw magnum chotruffle 90m,,,toys,toys stationery,,kw magnum chotruffle 90m,['magnum']
imported twinings cranberry & raspberry 20pcs,imported cranberry & raspberry ,20pcs,twinings,chocolates cakes confectioneries,branded food,flavor: cranberry flavor: raspberry,imported & ,['imported']
imported twinings blackcurrant burst 20pcs,imported blackcurrant burst ,20pcs,twinings,tea coffee,beverages,flavor: blackcurrant,imported burst ,"['imported', 'burst']"
twinings tea bag green tea jasmine 25pcs, bag green jasmine ,25pcs,twinings,tea coffee,beverages,flavor: jasmine color: green type: bag, ,[]
lux sandal & cream soap bar 100 g, sandal & cream soap bar ,100 g,lux,skin care,beauty personal care,type: sandal type: cream flavor: cream type: soap, & bar ,['bar']
dilmah lemon tea bag 25 pcs, lemon bag ,25 pcs,dilmah,tea coffee,beverages,flavor: lemon type: bag, ,[]
nilgiris cheese spread spicy pepper 180g, cheese spread spicy pepper ,180g,nilgiris,sauces puree dips,branded food,flavor: cheese flavor: pepper flavor: spicy, spread ,['spread']
wafer biscuit pineapple waffy,wafer biscuit pineapple waffy,,,biscuits cookies crackers,branded food,flavor: pineapple,wafer biscuit waffy,"['wafer', 'biscuit']"
ritebite work out choco classic 50gm, work out choco classic m,50g,ritebite,breakfast cereals,branded food,flavor: choco, work out classic m,"['work', 'classic']"
nilgiris butter cashew biscuit bx 100g, butter cashew biscuit bx ,100g,nilgiris,chocolates cakes confectioneries,branded food,flavor: butter flavor: cashew, biscuit bx ,['biscuit']
he deo perfumed passion spray cn 122ml, deo perfumed passion spray cn ,122ml,he,deos perfumes,beauty personal care,, deo perfumed paion pray cn ,"['deo', 'perfumed', 'pray']"
cop loose jowar premium,cop loose jowar ,,premium,dry fruits,grocery,flavor: jowar,cop loose ,"['cop', 'loose']"
crmt face tissue box 100p 20cmx20cm 2ply,crmt face tissue box 20cmx20cm 2ply,100p,,stationery,toys stationery,,crmt face tiue box 20cmx20cm 2ply,"['face', 'box']"
crmt hw rose pp 180ml,crmt hw rose pp ,180ml,,otc,beauty personal care,,crmt hw roe pp ,['roe']
bingo mad angle tomato madness pp 140g, mad angle tomato madness pp ,140g,bingo,chips namkeens snacks,branded food,flavor: tomato, mad angle madness pp ,"['mad', 'angle', 'madness']"
rambandhu pow spice chilli powdr pp 200g,rambandhu pow chilli powdr pp ,200g,old spice,freshners repellents,home hygiene,flavor: chilli,rambandhu pow powdr pp ,['pow']
crmt dlx kitchen roll 2 ply 2*60p,crmt dlx roll y *60p,2 pl,sangi s kitchen,toys,toys stationery,,crmt dlx roll y *60p,['roll']
fb avocado hass,fb avocado hass,,,home cleaning,home hygiene,flavor: avocado,fb hass,[]
cinthol deo spray play 150ml, deo spray play ,150ml,cinthol,deos perfumes,beauty personal care,, deo pray play ,"['deo', 'pray', 'play']"
sofrsh vd ml batter dosa 1kg,sofrsh vd ml batter dosa ,1kg,,otc,beauty personal care,flavor: dosa,sofrsh vd ml batter ,['batter']
american g can veg blk olive pitted 450g, g can veg blk olive pitted ,450g,american garden,pickles chutneys,branded food,flavor: olive flavor: veg color: olive, g can blk pitted ,['pitted']
shan readymix punjbi yakhni pulav 50g, readymix punjbi yakhni pulav ,50g,shan,otc,beauty personal care,, readymix punjbi yakhni pulav ,[]
shan readymix mutton biryani 60g, readymix mutton biryani ,60g,shan,baking dessert mixes,branded food,flavor: biryani flavor: mutton, readymix ,[]
foco coconut water pomegrant 500ml, coconut water pomegrant ,500ml,foco,fruit juices drinks,beverages,flavor: coconut, water pomegrant ,['water']
vwash wow maxi xl 5s, wow maxi xl ,5s,vwash,home cleaning,home hygiene,type: maxi, wow xl ,['wow']
wai wai ndl hakka egg noodles 200g, ndl hakka egg ,200g,wai wai,noodles pastas vermicelli,branded food,flavor: egg, ndl hakka ,[]
mother dairy icecrm mango marvel tb 1l, icecrm mango marvel tb ,1l,mother dairy,pickles chutneys,branded food,flavor: mango, icecrm marvel tb ,['marvel']
santoor mild handwash 1+1 750m, mild handwash 1+1 750m,,santoor,oral care,beauty personal care,type: handwash, mild 1+1 750m,['mild']
tong garden snk salted peanuts pp 500g, snk salted peanuts pp ,500g,tong garden,chips namkeens snacks,branded food,flavor: peanuts, snk salted pp ,['salted']
mothers rec preserve gingr past bt 200g,mothers rec preserve gingr past bt ,200g,,jams spreads honey,branded food,,mother rec preerve gingr pat bt ,"['mother', 'rec', 'pat']"
arohi veg fryum sago potat chkli gc 200g, veg fryum sago potat chkli gc ,200g,arohi,toys,toys stationery,flavor: sago flavor: veg, fryum potat chkli gc ,[]
amul shrikhand elaichi tub 500g, shrikhand elaichi tub ,500g,amul,ice cream desserts,branded food,type: tub type: elaichi flavor: elaichi, shrikhand ,[]
amul plain lassi 200ml, plain lassi ,200ml,amul,frozen veg,branded food,flavor: lassi, plain ,['plain']
snickers choco miniatures pp 2*150g op, choco miniatures pp op,2*150g,snickers,chocolates cakes confectioneries,branded food,flavor: choco, miniatures pp op,['miniatures']
gh jaggery round 1kg,gh jaggery round ,1kg,,laundry,home hygiene,flavor: jaggery,gh round ,['round']
ttrt frozen snk olive&jalepeno pizza 1p,ttrt snk olive&jalepeno pizza ,1p,frozen,frozen veg,branded food,flavor: pizza,ttrt snk olive&jalepeno ,[]
tasty treat namk black pepper peanut pp 200g, namk black pepper peanut pp ,200g,tasty treat,frozen veg,branded food,flavor: peanut flavor: pepper color: black, namk pp ,[]
tasty treat namk chana masala pp 200g, namk chana pp ,200g,tasty treat,masala spices,grocery,flavor: chana, namk pp ,[]
tasty treat toasted suji bread 63g, toasted suji bread ,63g,tasty treat,frozen veg,branded food,flavor: bread flavor: suji, toasted ,['toasted']
tasty treat wafer vanilla pp 25g, wafer vanilla pp ,25g,tasty treat,chocolates cakes confectioneries,branded food,flavor: vanilla, wafer pp ,['wafer']
tasty treat sweet rasgulla tin 1kg, sweet rasgulla tin ,1kg,tasty treat,canned tinned food,branded food,, weet ragulla tin ,['tin']
brylcreem shine protect hair styling gel 75 g, shine protect stylin el ,75 g,brylcreem,hair care,beauty personal care,, hine protect tylin el ,"['hine', 'protect']"
garnier cond ub 5 precious herb bt 175ml, cond ub recious herb bt 17ml,5 p,garnier,skin care,beauty personal care,flavor: herb, cond ub recious bt 17ml,[]
aachi readymix egg curry pp 50g, readymix egg curry pp ,50g,aachi,masala spices,grocery,flavor: curry flavor: egg, readymix pp ,[]
nivea deo whitening fruity touch 150ml, deo whitening fruity touch ,150ml,nivea,skin care,beauty personal care,type: whitening flavor: fruity, deo touch ,"['deo', 'touch']"
hitkary liq con brahmi badam bt 750ml, liq con brahmi badam bt ,750ml,hitkary,toys,toys stationery,flavor: badam, liq con brahmi bt ,['con']
fiama gel + crm bdws bk & almnd bt 200m, gel + crm bdws bk & almnd bt 200m,,fiama di wills,skin care,beauty personal care,type: gel, + crm bdws bk & almnd bt 200m,[]
sangis ktcn american mustard bt 220g,sangis ktcn mustard bt ,220g,american garden,jams spreads honey,branded food,flavor: mustard,sangis ktcn bt ,[]
sunfeast marie light biscuit 200g, marie light biscuit ,200g,sunfeast,biscuits cookies crackers,branded food,color: light, marie biscuit ,"['marie', 'biscuit']"
sunfeast dark fantasy choco fills 75g, dark fantasy choco fills ,75g,sunfeast,biscuits cookies crackers,branded food,flavor: choco color: dark, fantasy fills ,"['fantasy', 'fills']"
sunfeast yipee noodles mood masala poly pack 280g, yipee mood masala poly pack ,280g,sunfeast,noodles pastas vermicelli,branded food,, yipee mood maala poly pack ,"['mood', 'poly', 'pack']"
sunfeast instant pasta sour cream onion 70g, instant pasta sour cream onion ,70g,sunfeast,noodles pastas vermicelli,branded food,type: cream flavor: cream flavor: onion flavor: pasta, instant sour ,"['instant', 'sour']"
head & sho shmp lemon fresh antidn 80ml,head & sho shmp lemon antidn ,80ml,soo fresh,home cleaning,home hygiene,flavor: lemon,head & sho shmp antidn ,"['head', 'sho']"
rostaa drd frt cranberries whole pp 75g, drd frt cranberries whole pp ,75g,rostaa,frozen veg,branded food,flavor: cranberries, drd frt whole pp ,['whole']
"robinsons fruit shoot, strawberry & raspberry 300ml"," fruit shoot, strawberry & raspberry ",300ml,robinsons,chocolates cakes confectioneries,branded food,flavor: raspberry flavor: strawberry flavor: fruit," shoot, & ",[]
palmolive shower gel thermal spa 250ml, shower gel thermal spa ,250ml,palmolive,skin care,beauty personal care,type: spa type: shower type: gel, thermal ,['thermal']
chabaa jam pineapple fruit bt 430g, jam pineapple fruit bt ,430g,chabaa,fun drink mix,beverages,flavor: pineapple flavor: fruit, jam bt ,['jam']
chambal refined soya oil 15kg tin, refined soya tin,15kg,chambal,edible oil ghee,grocery,flavor: soya, refined tin,"['refined', 'tin']"
ttrt pasta conchiglie pp 500g,ttrt pasta conchiglie pp ,500g,,noodles pastas vermicelli,branded food,flavor: pasta,ttrt conchiglie pp ,[]
ttrt pickle mixed 1kg,ttrt pickle mixed ,1kg,,pickles chutneys,branded food,flavor: pickle,ttrt mixed ,['mixed']
rin det pow advance 1kg, det pow advance ,1kg,rin,chocolates cakes confectioneries,branded food,, det pow advance ,"['det', 'pow', 'advance']"
l- moong sabut,l- mo abut,,ong s,chocolates cakes confectioneries,branded food,,l- mo abut,['abut']
lifebuoy soap total10 125g, soap total1 ,0 125g,lifebuoy,skin care,beauty personal care,type: soap, total1 ,[]
jack fruit peeled,jack peeled,,fruit,fruit juices drinks,beverages,,jack peeled,"['jack', 'peeled']"
exo chana sprout pkd, chana sprout pkd,,exo,biscuits cookies crackers,branded food,flavor: chana flavor: sprout, pkd,[]
l-parmal standard rice,l-parmal standard rice,,american garden,jams spreads honey,branded food,flavor: rice,l-parmal standard ,['standard']
vlcc body ltn almond spf15 350ml, body ltn almond spf1 30ml,5 350ml,vlcc,skin care,beauty personal care,flavor: almond, body ltn spf1 30ml,['body']
mazaana chocolate almonds dates 100g,mazaana almonds dates ,100g,chocolate,chocolates cakes confectioneries,branded food,flavor: almonds,mazaana dates ,['dates']
park avenue deo body voyage 100g, deo body voyage ,100g,park avenue,deos perfumes,beauty personal care,, deo body voyage ,"['deo', 'body', 'voyage']"
patanjali anardana churan 100g, anardana churan ,100g,patanjali,otc,beauty personal care,, anardana churan ,[]
patanjali cows ghee 200ml, cows ,200ml,patanjali,edible oil ghee,grocery,, cow ,['cow']
patanjali coconut biscuit 100g, coconut biscuit ,100g,patanjali,biscuits cookies crackers,branded food,flavor: coconut, biscuit ,['biscuit']
patanjali instant noodle classic pp 60g, instant noodle classic pp ,60g,patanjali,noodles pastas vermicelli,branded food,, intant noodle claic pp ,['noodle']
patanjali lemon pickle 400g, lemon pickle ,400g,patanjali,pickles chutneys,branded food,flavor: lemon flavor: pickle, ,[]
pampers baby diaper large 18p, diaper large ,18p,pampers,baby care,baby care,type: diaper, large ,['large']
tide det pow pls talcum freshnes pp 500g, det pow pls talcum freshnes pp ,500g,tide,skin care,beauty personal care,type: talcum, det pow pls freshnes pp ,"['det', 'pow', 'pls']"
tilda brown basmati rice jr 1kg, brown basmati rice jr ,1kg,tilda,organic grains,grocery,flavor: rice color: brown flavor: basmati, jr ,[]
red bull energy drink 4*250ml, energy drink ,4*250ml,red bull,fruit juices drinks,beverages,, energy drink ,"['energy', 'drink']"
kissan squash pineapple bt 700ml, squash pineapple bt ,700ml,kissan,jams spreads honey,branded food,flavor: squash flavor: pineapple, bt ,[]
frooti nectar gift pack 6*160ml, nectar gift pack ,6*160ml,frooti,baby care,baby care,, nectar gift pack ,"['nectar', 'gift', 'pack']"
colonel & co hot cheese nacho crisps 60g, hot cheese nacho crisps ,60g,colonel & co,chips namkeens snacks,branded food,flavor: cheese flavor: nacho type: crisps color: hot, ,[]
chings instant soup tomato pp 15g,chings instant soup ma pp ,15g,,ready to eat,branded food,flavor: soup,chings instant ma pp ,['instant']
brijnandan ni namk navratra mixture 200g,brijnandan ni namk navratra mixture ,200g,,toys,toys stationery,,brijnandan ni namk navratra mixture ,['mixture']
kuppies orange cake with choco chips 4pk, orange cake with choco k,4p,kuppies,chips namkeens snacks,branded food,flavor: orange color: orange flavor: choco, cake with k,['cake']
rasna 32 gls mango, mango,32 gls,rasna,chocolates cakes confectioneries,branded food,flavor: mango, ,[]
xalta sft drnk jeera bt 250ml, sft drnk jeera bt ,250ml,xalta ,chips namkeens snacks,branded food,flavor: jeera, sft drnk bt ,[]
lijjat papad punj mn 200g, papad punj mn ,200g,lijjat,ready to fry,branded food,flavor: papad, punj mn ,[]
cadbury choco temptn cashew 72g, choco temptn cashew ,72g,cadbury,chocolates cakes confectioneries,branded food,flavor: choco flavor: cashew, temptn ,[]
london dairy icecrm dbl choclt cup 125ml, crm dbl choclt cup ,125ml,london dairy,ice cream desserts,branded food,, crm dbl choclt cup ,['cup']
real juice bread gift pack box nepal 2*1l, juice bread gift pack box nepal ,2*1l,real,fruit juices drinks,beverages,flavor: juice flavor: bread, gift pack box nepal ,"['gift', 'pack', 'box', 'nepal']"
sach tbrush super white soft 2+1, tbrush super white soft 2+1,,sach,toys,toys stationery,color: white, tbrush super soft 2+1,"['super', 'soft']"
ts color cotton ball 50p, color cotton ball ,50p,ts,stationery,toys stationery,color: color flavor: cotton, ball ,['ball']
epigamia yogurt greek mulberry cup 90g, yogurt greek mulberry cup ,90g,epigamia,toys,toys stationery,flavor: mulberry flavor: yogurt type: yogurt, greek cup ,"['greek', 'cup']"
raw pressery glow 250 ml, glow ,250 ml,raw pressery,chips namkeens snacks,branded food,color: glow, ,[]
24 lm primium brown basmati rice pp 1kg, m primium basmati rice pp 1kg,24 l,brown & polson,organic grains,grocery,flavor: rice flavor: basmati, m primium pp 1kg,[]
24 lm masoor whole pp 500g, m masoor whoe pp 500g,24 l,,stationery,toys stationery,flavor: masoor, m whoe pp 500g,[]
fresh n pure tea signature blend pp 250g, n signature blend pp ,250g,fresh & pure,tea coffee,beverages,, n ignature blend pp ,['blend']
ts travel bottle set pack of 2 sa70838, travel bottle et pack of a70838,2 s,ts,otc,beauty personal care,, travel bottle et pack of a70838,"['travel', 'bottle', 'pack']"
hersheys smart cook tomato puree 200g,hersheys smart cook tomato ,200g,,sauces puree dips,branded food,flavor: tomato,hersheys smart cook ,"['smart', 'cook']"
kara face wipes tea tree&neem 10p, face wipes tree&neem ,10p,kara,tea coffee,beverages,, face wipe tree&neem ,"['face', 'wipe']"
harpic toilt clnr lemon 500ml, toilt clnr lemon ,500ml,harpic,home cleaning,home hygiene,flavor: lemon, toilt clnr ,[]
crmt plain lami pp small round 25n17cm,crmt plain lami pp small round 25n17cm,,,cleaning accessories,home hygiene,,crmt plain lami pp mall round 25n17cm,"['plain', 'mall', 'round']"
