cleaned,quantity,final_brand,class1,class2
 rat killer ,100g,mortein,deos perfumes,beauty personal care
 intensive advanced repair body lotion ,100 ml,vaseline,skin care,beauty personal care
 pow spice chilli pp ,250g,eastern,masala spices,grocery
 dahi vada mix ,200g,desi atta company,baking dessert mixes,branded food
 singhara chestnut pp ,200g,desi atta company,chocolates cakes confectioneries,branded food
 soya wadi bx ,200g,ektaa,chocolates cakes confectioneries,branded food
 quah badam 700m,,haldiram s,chips namkeens snacks,branded food
johnsons smp kds shiny drops bt 100m,,act ii,chips namkeens snacks,branded food
 glass clnr refill pp ,1l,colin,home cleaning,home hygiene
 co oats idli mix pp ,200g,desi atta company,breakfast cereals,branded food
brijnandan namk daal bizi pp ,400g,,baby care,baby care
 makai poha pp ,500g,ektaa,chocolates cakes confectioneries,branded food
 pow spice chilli pp ,200g,badshah,chips namkeens snacks,branded food
 cake sws roll strawberry ,100g,monginis,otc,beauty personal care
 bhujia maala pp 48g,42g,haldiram s,chips namkeens snacks,branded food
 gentle bath ,200ml,himalaya,baby care,baby care
mcvities digestive ,4*100g,,biscuits cookies crackers,branded food
pooof cream fld cake strawbery pp ,40g,pooof!,chocolates cakes confectioneries,branded food
britania crm bsct vanilla pp ,150g,tasty treat,chocolates cakes confectioneries,branded food
 nc heavens cranberrie&oats ,60g,britannia,biscuits cookies crackers,branded food
 hairoil amla ,90ml,dabur,otc,beauty personal care
loreal hrclr cstng crm dark brwn 400m,,,baby care,baby care
 triple clean toothbrush medium c,1p,pepsodent,oral care,beauty personal care
elvir dahi dessert light cranbry ,125g,,home cleaning,home hygiene
elvir dahi dessert light prune ,125g,,home cleaning,home hygiene
 apple crunch,,nature valley,mineral water soda,beverages
 advnsd men hc anti dandrf ,100g,parachute,hair care,beauty personal care
 chocolate fudge bunfils ,30g,english oven,chocolates cakes confectioneries,branded food
 sundry alo vr gel ksr cndn 60m,,patanjali,toys,toys stationery
 cream biscuit hide n seek bourbon ,60g,parle,biscuits cookies crackers,branded food
 maska khari ,150g,baker street,toys,toys stationery
nilons parampara pickle ,1kg,three mango,pickles chutneys,branded food
nilons sauce chopstic chilli bottle ,680g,,sauces puree dips,branded food
nilons sauce orgnl soya bottle ,220g,,sauces puree dips,branded food
 frz chicken reshmi ,250g,zorabian,ready to eat,branded food
 multigrain bt rusk pp ,200g,baker street,chips namkeens snacks,branded food
 soyabean bt ,1l,patanjali,edible oil ghee,grocery
 cb h&s black bourbon op,3*100g,parle,biscuits cookies crackers,branded food
ph moong dal pp ,500g,,chips namkeens snacks,branded food
 french fries smiles pp ,1.25g,mccain,frozen veg,branded food
 fc milk ,500 ml,vita,chocolates cakes confectioneries,branded food
 std milk ,500 ml,vita,chocolates cakes confectioneries,branded food
bhpc deo fragrance 1 women cn ,150ml,body line,deos perfumes,beauty personal care
 hr cl sal sec natural black 1,,bblunt,deos perfumes,beauty personal care
 inst pasta pazta macron cheese ,70g,maggi,noodles pastas vermicelli,branded food
 s brown ack,10 p,fresco egg,sauces puree dips,branded food
 facewash bag lemon gel tb ,100g,lakme,skin care,beauty personal care
 sauce bhut sriracha tb ,100g,wingreens,sauces puree dips,branded food
 dahi toned milk cup ,200g,mother dairy,chocolates cakes confectioneries,branded food
 goldn bytes mix nuts pp ,66g,cremica,otc,beauty personal care
j&j talc pow ,50g,baby,baby care,baby care
j&j soap ,3*100g,baby,baby care,baby care
 det powder complete pp ,1kg,ariel,laundry,home hygiene
 co upwas parantha pp ,200g,desi atta company,baby care,baby care
 conditioner daily shine ,80ml,dove,hair care,beauty personal care
 ujjaini poha pp ,1kg,ektaa,chocolates cakes confectioneries,branded food
 condom banana dot&clr bx ,10p,skore,otc,beauty personal care
sour punk strawberry candy ,40g,fevi stick,stationery,toys stationery
 chocolate for boys ,20g,kinder joy,chocolates cakes confectioneries,branded food
 det pow natural lemon&chandan ,125g,tide,stationery,toys stationery
 khush day to day bsmti rice pp ,5kg,tilda,frozen veg,branded food
 squash lemon 750m,,kissan,jams spreads honey,branded food
 oth bby powder ,100g,himalaya,baby care,baby care
 shampoo gentle daily 200m,,himalaya,baby care,baby care
mcvities festivities assorted bx p,700g g,,biscuits cookies crackers,branded food
 pow spice turmeric ,100g,ramdev,skin care,beauty personal care
 fw tan rmoval orange ,100ml,himalaya,otc,beauty personal care
 gentle exfol walnut scrub ,100g,himalaya,baby care,baby care
 jaggery ,220g,dhampure,baking dessert mixes,branded food
 peach shine lip m,4.5 g,himalaya,skin care,beauty personal care
 absolute perfect radiance lihtenin niht creme ,50 g,lakme,skin care,beauty personal care
" 9 to rimer + matte li color, lc r3 caramel cut, 3.6 g",5 p,lakme,skin care,beauty personal care
 readymix meat ,100g,mdh,masala spices,grocery
 readymix chat ,100g,mdh,masala spices,grocery
 wave fliptop ,18g,happydent,chocolates cakes confectioneries,branded food
 gum complt peppermint ,27.5g,happydent,chocolates cakes confectioneries,branded food
 bounce elaichi twist biscuit ,100g,sunfeast,biscuits cookies crackers,branded food
 noodle yippee clas masala ,70g,sunfeast,noodles pastas vermicelli,branded food
 gel styling vertical 100m,,set wet,hair care,beauty personal care
 tulsi lemon ginger green ,18pcs,organic india,tea coffee,beverages
 sweet chilli flavour rice wafers ,100g,thins,chips namkeens snacks,branded food
 face tiue ultra ,200 s,rolia,skin care,beauty personal care
 froz veg spring roll patti pp ,200g,frish,toys,toys stationery
 air freshener lavender hang bx ,50g,clmt,freshners repellents,home hygiene
 napthalene balls ,100g,clmt,chocolates cakes confectioneries,branded food
 utensil bar ,200g,clmt,chocolates cakes confectioneries,branded food
 scrubber grooved sponge ,3pcs,clmt,cleaning accessories,home hygiene
 scrb heavy duty green,,clmt,tea coffee,beverages
 utensil srb 3 in 1 7.5*10cm,,clmt,toys,toys stationery
 pow spice hing brown bt ,50g,vandevi,chips namkeens snacks,branded food
 act kd immuno boosters 4-6y cn ,30p,cipla,chips namkeens snacks,branded food
 det liquid ,2*500ml,wipro safewash,otc,beauty personal care
 ndl ecret chezwan ,60g,ching s secret,noodles pastas vermicelli,branded food
 dairy milk play pack ,104g,cadbury,chocolates cakes confectioneries,branded food
 farfalle wheat pasta ,500g,borges,noodles pastas vermicelli,branded food
 coffe drop candy ,175g,cavendish & harvey,chocolates cakes confectioneries,branded food
 tetley bag ginger ,12pcs,tata tea,tea coffee,beverages
 thandai ,200ml,paper boat,fruit juices drinks,beverages
 mini cookie cake choco bx ,66g,pillsbury,chocolates cakes confectioneries,branded food
 cakemix rich chocolt bx ,285g,pillsbury,baking dessert mixes,branded food
 brownie choco chip pp ,80g,pillsbury,chocolates cakes confectioneries,branded food
 papad assorted op,3*200g,bikano,ready to fry,branded food
 choco dm silk hazelnut pp ,58g,cadbury,chocolates cakes confectioneries,branded food
 multigrain bhatura mix pp ,500g,desi atta company,dry fruits,grocery
 split end rescue shampoo ,80 ml,dove,hair care,beauty personal care
 mix chicken bx ,50g,badshah,ready to eat,branded food
 cumin seeds ,100g,mother earth,masala spices,grocery
 masoor dal ,500g,mother earth,chocolates cakes confectioneries,branded food
munchys plain biscuit cream cracker ,300g,,biscuits cookies crackers,branded food
pooof kettle cps spicy schezwan pp ,30g,pooof!,toys,toys stationery
 soya milk mango ,1l,sofit,chocolates cakes confectioneries,branded food
 yellow bx ,250gg,marvel,tea coffee,beverages
 deo whitewater man cn ,150ml,old spice,deos perfumes,beauty personal care
 soyamilk omp coffee mocha tp ,200ml,sofit,chocolates cakes confectioneries,branded food
 gems surprise ,17.8g,cadbury,chocolates cakes confectioneries,branded food
layerr deo power play shot ,135ml,,deos perfumes,beauty personal care
 tmp bdy wsh energy rush bt ,300ml,swiss tempelle,chocolates cakes confectioneries,branded food
 pft rdnce fairn day cream ,50g,lakme,skin care,beauty personal care
 tmp bw pr energy hwr gl 250m,2in1 s,swiss tempelle,toys,toys stationery
swiss tmp bw &fs oil swr gl bt 250m,,lotus,skin care,beauty personal care
 jelly bites cubes ,80g,nilgiris,chocolates cakes confectioneries,branded food
 trawberry yrup ,623g,hershey s,otc,beauty personal care
 face wipes seaweed & lavender ,10p,kara,skin care,beauty personal care
 classic ,50g,nescafe,tea coffee,beverages
 tlt clnr power opthk orange 500m,,harpic,home cleaning,home hygiene
 chatpata mix namkeen ,175g,kurkure,chips namkeens snacks,branded food
tops mix jam ,500g,fruit,jams spreads honey,branded food
 facial box 2ply born pure,100s,paseo,otc,beauty personal care
 elegant luncheon napkin ly,50s 2p,paseo,toys,toys stationery
 ndl super chennai masala ,73g,maggi,noodles pastas vermicelli,branded food
 meal pongal ,300g,mtr,ready to eat,branded food
 dessertmix payasam kheer ,2*180g,mtr,ready to eat,branded food
 muffins eggless,,garys,chocolates cakes confectioneries,branded food
garys barcake choco eggless,,cherry,chocolates cakes confectioneries,branded food
nestle alpino very milky ,90g,chocolate,chocolates cakes confectioneries,branded food
 mukhwas jhilmil supari ,70g,mera swad,toys,toys stationery
 pow kashmirilal chili bx ,100g,everest,masala spices,grocery
 sweet lassi bt ,200ml,mother dairy,pickles chutneys,branded food
 fw saundrya tulsi&aloever ,60ml,patanjali,otc,beauty personal care
 gel soft hold ,100g,park avenue,hair care,beauty personal care
 twisty tasty b1 1+1 120g op,1g,patanjali,toys,toys stationery
 badam pak jr ,500g,patanjali,breakfast cereals,branded food
 noodle atta chatpataa pp ,60g,patanjali,chocolates cakes confectioneries,branded food
 ocasion exquisites p,800g g,parle,biscuits cookies crackers,branded food
 stld bisc sncky chl flk ,64g,sunfeast,biscuits cookies crackers,branded food
 drink orange bt ,750ml,mirinda,soft drinks,beverages
floor cloth,,comfort,home cleaning,home hygiene
 cokies muesli multigrain pp ,3*60g,unibic,breakfast cereals,branded food
 ndl yippee magic masala ,35g,sunfeast,noodles pastas vermicelli,branded food
 plus naturally strong shampoo ,80 ml,clinic plus+,health drinks,beverages
 shmp fall control ,80ml,pantene,hair care,beauty personal care
 mild soap bar ,125 g,lifebuoy,skin care,beauty personal care
 stick ,16g,center fresh,chocolates cakes confectioneries,branded food
 power slider machine+refill ,45ml,all out,freshners repellents,home hygiene
mothers rec chicken biryani mix ,100g,,masala spices,grocery
 razor venus oceana ,2p,gillette,men toiletries,beauty personal care
 shav cream fresh ,70g,dettol,personal hygiene,beauty personal care
 coriander powder jr ,100g,organic tattva,organic spices,grocery
 ragi pp ,500g,organic tattva,organic flours,grocery
kw feast zap ,65ml,three mango,pickles chutneys,branded food
 ic tape green dispencer,3m mag,3m,stationery,toys stationery
 popular ,425g,bambino,noodles pastas vermicelli,branded food
dukes masala nibbles salted biscuit jar ,200g,,biscuits cookies crackers,branded food
 flr clnr lavender ,2l,lizol,home cleaning,home hygiene
 green lemon & honey box ,10pcs,twinings,tea coffee,beverages
imported blueberry & apple ,20pcs,twinings,fun drink mix,beverages
 es ctc 100g,3 ros,tata tea,tea coffee,beverages
ambipur air lavender bouquet ,275g,soo fresh,freshners repellents,home hygiene
 santra juice ,1l,paper boat,fruit juices drinks,beverages
 readymeal butter chi ,250g,venkys,chocolates cakes confectioneries,branded food
 shmp daily mois repar pump ,675ml,pantene,hair care,beauty personal care
 fw anti tan lightening ,50g,vlcc,skin care,beauty personal care
 ndl scoopies mad masala pp ,70g,nissin,noodles pastas vermicelli,branded food
 oats broken pp ,500g,kosh,breakfast cereals,branded food
 litchi juice ,1.2l,sunkist,fruit juices drinks,beverages
 plain tofu,,crown,chocolates cakes confectioneries,branded food
fox s fruits crystal mint candy ,180g,clear,chocolates cakes confectioneries,branded food
dd hexa gulab agbt,,dabur gulabari,otc,beauty personal care
glucon d original jar 1k,,glucon-d,fun drink mix,beverages
 black refill pack pp ,100g,tata,salt sugar jaggery,grocery
 gold ,1kg,tata tea,tea coffee,beverages
 bombay puri ,160g,garden,jams spreads honey,branded food
 fruity bread,,english oven,fun drink mix,beverages
 milk chocolate with cornflakes ,100g,ritter sport,chocolates cakes confectioneries,branded food
gh daily whole dal horse gram ,500g,,dry fruits,grocery
 pow spice coriander ,500g,ramdev,masala spices,grocery
 bread - brown jumbo slice ,400 g,g bakers,skin care,beauty personal care
mazaana paan ,80g,chocolate,chocolates cakes confectioneries,branded food
park avenu deo cool ,100g,blue bird,deos perfumes,beauty personal care
 nutty delite ,70g,patanjali,biscuits cookies crackers,branded food
 kesh kanti milk protn bt ,200ml,patanjali,hair care,beauty personal care
 amla oil ,100ml,patanjali,hair care,beauty personal care
 bel murabba ,1kg,patanjali,otc,beauty personal care
 multani mitti body cleansr ,75g,patanjali,deos perfumes,beauty personal care
 hand wash almond kesar ,175ml,patanjali,personal hygiene,beauty personal care
 bread ,600g,harvest gold,tea coffee,beverages
 bread bombay pao,,harvest gold,tea coffee,beverages
j&j soap blossom ,75g,baby,baby care,baby care
kelloggs muesli extra magic ,250g,fruit,breakfast cereals,branded food
 watermelon suarfree ms,8.8 g,orbit,chocolates cakes confectioneries,branded food
 plax mouthwash active salt ,250ml,colgate,oral care,beauty personal care
 fall rescue shampoo ,80 ml,dove,hair care,beauty personal care
 who spice kasuri methi bx ,25g,badshah,chips namkeens snacks,branded food
 tpste kinds bubble fruits bx ,40g,colgate,oral care,beauty personal care
 ndl yippe magic masala 2n 40g,1 140g,sunfeast,biscuits cookies crackers,branded food
 tulsi chai masala tea bag ,25g,organic india,salt sugar jaggery,grocery
ragu sauce mamas special ,680.4g,garden,sauces puree dips,branded food
 croc desertmix choc fudg cake ,475g,betty crocker,toys,toys stationery
 snackmix vada mix ,200g,mtr,masala spices,grocery
 readymix kitchen king ,100g,goldiee,mineral water soda,beverages
 recharge midnight bodyspray ,150 ml,axe,deos perfumes,beauty personal care
 apollo deodorant ,150 ml,axe,deos perfumes,beauty personal care
 wonder pants diapers small ,20 pcs,huggies,baby care,baby care
strong leaf ,1 kg,tata tea,tea coffee,beverages
reg eggs ack,6 p,parle-g,biscuits cookies crackers,branded food
 tbrush super guard soft 2+1,,sach,toys,toys stationery
 oats milk mango flavor tetra pack ,180ml,quaker,breakfast cereals,branded food
 pow spice turmeric pp ,200g,badshah,otc,beauty personal care
 assorted gift pack tr 3x1ltr,3l,b natural,stationery,toys stationery
mamy poko pants bby diaper lrg size ,8p,,baby care,baby care
" ecret chicken chilli miracle maala, ",20g,ching s secret,masala spices,grocery
 fw power light fairns ,100ml,garnier,men toiletries,beauty personal care
 san pad ultra softer l ,7p,whisper,feminine care,beauty personal care
 dentastix toy small green flavour,,pedigree,tea coffee,beverages
waghbakri navchetan ,1kg,tata tea,tea coffee,beverages
gh who kokam pandi ,100g,old spice,freshners repellents,home hygiene
gh icing pp ,500g,sugar free,salt sugar jaggery,grocery
waghbakri perfect leaf ,500g,tata tea,tea coffee,beverages
gh superfine jar ,1kg,sugar free,salt sugar jaggery,grocery
 moong dal namkeen ,150g,garden,chips namkeens snacks,branded food
 battery ultima aa2 2115,,eveready,toys,toys stationery
 cheese mascarpone ,250g,zanetti,chips namkeens snacks,branded food
elvir dahi dessert pineapple ,125g,,sauces puree dips,branded food
embog cheese danish cammembert ,125g,,chips namkeens snacks,branded food
