article_name,quantity,brand,function,type-flavour-colour,misc
rostaa morning berries pp 35g,35g,rostaa,freshners repellents | home hygiene,flavor:berries,"morning,berries"
rostaa roasted salted pistachio pp 35g,35g,rostaa,chips namkeens snacks | branded food,flavor:roasted flavor:pistachio,"roasted,salted,pistachio"
flying bird kewra essence 20ml,20ml,flying bird,masala spices | grocery,,
flying bird ripe mango essence 20ml,20ml,flying bird,masala spices | grocery,flavor:mango,"ripe,mango,essence"
maggi ndl cuppa chili chow 70g,70g,maggi,noodles pastas vermicelli | branded food,flavor:chili,"cuppa,chili,chow"
parle hide & seek american butter cookies 200g,200g,parle,biscuits cookies crackers | branded food,flavor:butter,"hide,seek,american,butter"
patanjali honey 1kg,1kg,patanjali,jams spreads honey | branded food,,
priya gold biscuits 200g,200g,priyagold,biscuits cookies crackers | branded food,,gold
revive starch 50g,50g,revive,laundry | home hygiene,,
clmt air freshener jasmine hang bx 50g,50g,clmt,freshners repellents | home hygiene,type:freshener flavor:jasmine,"air,freshener,jasmine,hang"
clmt plastic disp garbage bag 10p b1g1,10p,clmt,stationery | toys stationery,type:bag,"plastic,garbage,bag"
axe deo signature champion bx 122ml,122ml,axe signature,deos perfumes | beauty personal care,,"deo,champion"
yummiez chicken lucknowi shek kabab 400g,400g,yummiez,ready to eat | branded food,flavor:chicken flavor:kabab,"chicken,shek"
yummiez frozen chicken keema pp 300g,300g,yummiez,frozen veg | branded food,flavor:chicken flavor:keema,chicken
vaseline bdy ltn int cr hlthy w lgh 40m,40m,vaseline,skin care | beauty personal care,,int
beeta napkin dinner paper plain 50s,50s,beeta,stationery | toys stationery,type:napkin,"napkin,dinner,paper,plain"
appy fizz apple soft drink 250ml,250ml,appy fizz,soft drinks | beverages,flavor:apple,"apple,drink"
tic tac peach passion 10.7g,10.7g,tic tac,chocolates cakes confectioneries | branded food,flavor:peach,"peach,passion"
vrka pio botls stbry,,,toys | toys stationery,,pio
pepsi soft drink black diet cola can 250ml,250ml,pepsi,soft drinks | beverages,color:black,"drink,black,diet,cola"
koka noodles chicken satay flavour 85g,85g,koka,noodles pastas vermicelli | branded food,flavor:chicken,"chicken,satay,flavour"
gowardhan milk gold pp 1l,1l,gowardhan,chocolates cakes confectioneries | branded food,flavor:milk,"milk,gold"
alpenliebe cand juzt jelly mango 185g,185g,alpenliebe,chocolates cakes confectioneries | branded food,flavor:mango flavor:jelly,"jelly,mango"
del monte prunes california prem pp 210g,210g,del monte,canned tinned food | branded food,flavor:prunes,"prunes,california,prem"
cadbury bournville raisin nut chocolate 80g,80g,bournville,chocolates cakes confectioneries | branded food,flavor:chocolate flavor:raisin type:chocolate,"cadbury,raisin,nut,chocolate"
grandos caf,,grandos,chocolates cakes confectioneries | branded food,,caf
panchamrit flvr milk energy bt 200ml,200ml,panchamrit,soft drinks | beverages,flavor:milk,"milk,energy"
london dairy icecrm ntrl stwbry cp 125ml,125ml,london dairy,ice cream desserts | branded food,,
real juice pvc bag indian gift pack 3*1l,3*1l,real,fruit juices drinks | beverages,type:pvc flavor:juice type:bag,"juice,pvc,bag,indian,gift,pack"
kitchens of india redymelnavrtnkorma285g,285g,kitchens of india,pickles chutneys | branded food,,
dnu salsalito tortilla chips chilli 150g,150g,salsalito,chips namkeens snacks | branded food,flavor:chilli flavor:tortilla,"tortilla,chilli"
bikano namk meetha chatpata 776g gp,776g g,bikano,chips namkeens snacks | branded food,,
ph urad chilka pp 500g,500g,premium harvest,dry fruits | grocery,flavor:urad,
choice fry n eat papad triangle 150g,150g,easy choice,baking dessert mixes | branded food,flavor:papad,"fry,eat,triangle"
mr muscle all purp kitchen trigger 500m,500m,mr muscle,home cleaning | home hygiene,,"kitchen,trigger"
mccains frz snk vegie brgr patty pp 360g,360g,mccains,toys | toys stationery,flavor:patty flavor:vegie,patty
opp pocket comb,,,home cleaning | home hygiene,,"opp,pocket,comb"
mr muscle glass & househld cleanr 500m,500m,mr muscle,home cleaning | home hygiene,,gla
clear complete active care anti dandruff shampoo 80 ml,80 ml,clear,hair care | beauty personal care,type:shampoo,"complete,active,anti,dandruff,shampoo"
clean&dry body wash intimate bt 90ml,90ml,clean and dry,skin care | beauty personal care,type:wash,"body,wash,intimate"
prim microfiber multipurpose gloves,,prim,cleaning accessories | home hygiene,type:gloves type:microfiber,"multipurpose,gloves"
gm food moong tawa chilla pp 400g,400g,food bazaar,masala spices | grocery,flavor:moong flavor:tawa,
gm food bedmi chatni longi pp 100g,100g,food bazaar,masala spices | grocery,,
engage deo urge man cn 150ml,150ml,engage,deos perfumes | beauty personal care,,"deo,urge,man"
gh daily rajma chitra white 1kg,1kg,mr.white,skin care | beauty personal care,flavor:rajma flavor:chitra color:white,"daily,white"
gh daily urad dal prem 500g,500g,golden harvest,dals pulses | grocery,flavor:dal flavor:urad,"daily,dal,prem"
cadbury bournvita lil champ health drink jar 200g,200g,cadbury bourn vita,health drinks | beverages,,"lil,champ,drink,jar"
gh who spice black cardamm 20g,20g,old spice,freshners repellents | home hygiene,color:black,black
gh daily who spice rai 100g,100g,old spice,freshners repellents | home hygiene,,"daily,rai"
sunsilk nourishing soft & smooth conditioner 80 ml,80 ml,sunsilk,hair care | beauty personal care,type:conditioner,"nourishing,soft,smooth,conditioner"
mayb lip smooth balm berry crush 4.5g,4.5g,,skin care | beauty personal care,flavor:berry,"lip,smooth,balm,berry,crush"
maggi sauce tomato 200g,200g,maggi,dals pulses | grocery,flavor:tomato flavor:sauce,"sauce,tomato"
bounty chocolates value pack pp 171g,171g,chocolate,chocolates cakes confectioneries | branded food,,"bounty,value,pack"
delicious frozen pop corn bonless 250g,250g,delicious,frozen veg | branded food,flavor:corn,"pop,corn"
delicious frozen nuggets classic 500g,500g,delicious,frozen veg | branded food,,nugget
daawat basmati rice pulav pp 1kg,1kg,daawat,organic grains | grocery,flavor:rice flavor:basmati,"basmati,rice"
dawat basmati rice biryani pp 1kg,1kg,,organic grains | grocery,flavor:rice flavor:biryani flavor:basmati,"basmati,rice"
desi atta bhagarshamakvarai pp 200g,200g,desi atta company,ready to eat | branded food,,
desi atta rava dosa pp 500g,500g,desi atta company,baby food | baby care,flavor:dosa flavor:rava,
johnsons shmp actv kids sft&smth bt 100m,100m,johnsons,toys | toys stationery,,kid
desi atta co peri peri idli mix pp 200g,200g,desi atta company,chips namkeens snacks | branded food,flavor:idli,"peri,peri,mix"
haldiram namkeen lemon bhel pp 150g,150g,namkeen tree,chips namkeens snacks | branded food,flavor:lemon flavor:bhel,lemon
dove shmp regenerative repair tube 240ml,240ml,dove,hair care | beauty personal care,,"regenerative,repair,tube"
kwality wa ice crm tuti frty 700m 1+1 op,700m,kwality walls,ice cream desserts | branded food,,
kw magnum chotruffle 90m,90m,,toys | toys stationery,,magnum
imported twinings cranberry & raspberry 20pcs,20pcs,twinings,chocolates cakes confectioneries | branded food,flavor:raspberry flavor:cranberry,"imported,cranberry,raspberry"
imported twinings blackcurrant burst 20pcs,20pcs,twinings,tea coffee | beverages,flavor:blackcurrant,"imported,blackcurrant,burst"
twinings tea bag green tea jasmine 25pcs,25pcs,twinings,tea coffee | beverages,flavor:jasmine color:green type:bag,"bag,green,jasmine"
lux sandal & cream soap bar 100 g,100 g,lux,skin care | beauty personal care,type:sandal flavor:cream type:cream type:soap,"sandal,cream,soap,bar"
dilmah lemon tea bag 25 pcs,25 pcs,dilmah,tea coffee | beverages,flavor:lemon type:bag,"lemon,bag"
nilgiris cheese spread spicy pepper 180g,180g,nilgiris,sauces puree dips | branded food,flavor:spicy flavor:pepper flavor:cheese,"cheese,spread,spicy,pepper"
wafer biscuit pineapple waffy,,,biscuits cookies crackers | branded food,flavor:pineapple,"wafer,biscuit,pineapple"
ritebite work out choco classic 50gm,50gm,ritebite,breakfast cereals | branded food,flavor:choco,"work,classic"
nilgiris butter cashew biscuit bx 100g,100g,nilgiris,chocolates cakes confectioneries | branded food,flavor:cashew flavor:butter,"butter,cashew,biscuit"
he deo perfumed passion spray cn 122ml,122ml,he,deos perfumes | beauty personal care,,"deo,perfumed,pray"
cop loose jowar premium,,premium,dry fruits | grocery,flavor:jowar,"cop,loose"
crmt face tissue box 100p 20cmx20cm 2ply,100p,,stationery | toys stationery,,"face,box"
crmt hw rose pp 180ml,180ml,,otc | beauty personal care,,roe
bingo mad angle tomato madness pp 140g,140g,bingo,chips namkeens snacks | branded food,flavor:tomato,"mad,angle,tomato,madness"
rambandhu pow spice chilli powdr pp 200g,200g,ram bandhu,chips namkeens snacks | branded food,flavor:chilli,"pow,spice,chilli"
crmt dlx kitchen roll 2 ply 2*60p,2 pl,sangis kitchen,toys | toys stationery,,roll
fb avocado hass,,,home cleaning | home hygiene,flavor:avocado,avocado
cinthol deo spray play 150ml,150ml,cinthol,deos perfumes | beauty personal care,,"deo,pray,play"
sofrsh vd ml batter dosa 1kg,1kg,,otc | beauty personal care,flavor:dosa,batter
american g can veg blk olive pitted 450g,450g,american garden,pickles chutneys | branded food,flavor:veg color:olive flavor:olive,"veg,olive,pitted"
shan readymix punjbi yakhni pulav 50g,50g,shan,otc | beauty personal care,,
shan readymix mutton biryani 60g,60g,shan,baking dessert mixes | branded food,flavor:biryani flavor:mutton,mutton
foco coconut water pomegrant 500ml,500ml,foco,fruit juices drinks | beverages,flavor:coconut,"coconut,water"
vwash wow maxi xl 5s,5s,vwash,home cleaning | home hygiene,type:maxi,"wow,maxi"
wai wai ndl hakka egg noodles 200g,200g,wai wai,noodles pastas vermicelli | branded food,flavor:egg,egg
mother dairy icecrm mango marvel tb 1l,1l,mother dairy,pickles chutneys | branded food,flavor:mango,"mango,marvel"
santoor mild handwash 1+1 750m,1 750m,santoor,personal hygiene | beauty personal care,type:handwash,mild
tong garden snk salted peanuts pp 500g,500g,tong garden,chips namkeens snacks | branded food,flavor:peanuts,"salted,peanuts"
mothers rec preserve gingr past bt 200g,200g,mothers recipe,jams spreads honey | branded food,,"rec,pat"
arohi veg fryum sago potat chkli gc 200g,200g,arohi,toys | toys stationery,flavor:sago flavor:veg,"veg,sago"
amul shrikhand elaichi tub 500g,500g,amul,ice cream desserts | branded food,flavor:elaichi type:tub type:elaichi,tub
amul plain lassi 200ml,200ml,amul,frozen veg | branded food,flavor:lassi,plain
snickers choco miniatures pp 2*150g op,2*150g,snickers,chocolates cakes confectioneries | branded food,flavor:choco,miniatures
gh jaggery round 1kg,1kg,golden harvest,masala spices | grocery,flavor:jaggery,round
ttrt frozen snk olive&jalepeno pizza 1p,1p,frozen,frozen veg | branded food,flavor:pizza,pizza
tasty treat namk black pepper peanut pp 200g,200g,tasty treat,frozen veg | branded food,flavor:pepper color:black flavor:peanut,"black,pepper,peanut"
tasty treat namk chana masala pp 200g,200g,tasty treat,masala spices | grocery,flavor:chana,
tasty treat toasted suji bread 63g,63g,tasty treat,frozen veg | branded food,flavor:bread flavor:suji,"toasted,bread"
tasty treat wafer vanilla pp 25g,25g,tasty treat,chocolates cakes confectioneries | branded food,flavor:vanilla,"wafer,vanilla"
tasty treat sweet rasgulla tin 1kg,1kg,tasty treat,canned tinned food | branded food,,tin
brylcreem shine protect hair styling gel 75 g,75 g,brylcreem,hair care | beauty personal care,,"hine,protect"
garnier cond ub 5 precious herb bt 175ml,5 p,garnier,skin care | beauty personal care,flavor:herb,herb
aachi readymix egg curry pp 50g,50g,aachi,masala spices | grocery,flavor:egg flavor:curry,"egg,curry"
nivea deo whitening fruity touch 150ml,150ml,nivea,skin care | beauty personal care,type:whitening flavor:fruity,"deo,whitening,fruity,touch"
hitkary liq con brahmi badam bt 750ml,750ml,hitkary,toys | toys stationery,flavor:badam,con
fiama gel + crm bdws bk & almnd bt 200m,200m,fiama di wills,skin care | beauty personal care,type:gel,gel
sangis ktcn american mustard bt 220g,220g,american garden,jams spreads honey | branded food,flavor:mustard,mustard
sunfeast marie light biscuit 200g,200g,sunfeast,biscuits cookies crackers | branded food,color:light,"marie,light,biscuit"
sunfeast dark fantasy choco fills 75g,75g,sunfeast,biscuits cookies crackers | branded food,color:dark flavor:choco,"dark,fantasy,fills"
sunfeast yipee noodles mood masala poly pack 280g,280g,sunfeast,noodles pastas vermicelli | branded food,,"mood,poly,pack"
sunfeast instant pasta sour cream onion 70g,70g,sunfeast,noodles pastas vermicelli | branded food,type:cream flavor:cream flavor:onion flavor:pasta,"instant,pasta,sour,cream,onion"
head & sho shmp lemon fresh antidn 80ml,80ml,soo fresh,home cleaning | home hygiene,flavor:lemon,"head,sho,lemon"
rostaa drd frt cranberries whole pp 75g,75g,rostaa,frozen veg | branded food,flavor:cranberries,"cranberries,whole"
"robinsons fruit shoot, strawberry & raspberry 300ml",300ml,robinsons,chocolates cakes confectioneries | branded food,flavor:raspberry flavor:fruit flavor:strawberry,"fruit,strawberry,raspberry"
palmolive shower gel thermal spa 250ml,250ml,palmolive,skin care | beauty personal care,type:spa type:gel type:shower,"shower,gel,thermal,spa"
chabaa jam pineapple fruit bt 430g,430g,chabaa,fun drink mix | beverages,flavor:pineapple flavor:fruit,"jam,pineapple,fruit"
chambal refined soya oil 15kg tin,15kg,chambal,edible oil ghee | grocery,flavor:soya,"refined,soya,tin"
ttrt pasta conchiglie pp 500g,500g,tasty treat,noodles pastas vermicelli | branded food,flavor:pasta,pasta
ttrt pickle mixed 1kg,1kg,tasty treat,pickles chutneys | branded food,flavor:pickle,"pickle,mixed"
rin det pow advance 1kg,1kg,rin,chocolates cakes confectioneries | branded food,,"det,pow,advance"
l moong sabut,,del monte,canned tinned food | branded food,flavor:moong,
lifebuoy soap total10 125g,0 125g,lifebuoy,skin care | beauty personal care,type:soap,soap
jack fruit peeled,,fruit,fruit juices drinks | beverages,,"jack,peeled"
exo chana sprout pkd,,exo,biscuits cookies crackers | branded food,flavor:chana flavor:sprout,sprout
lparmal standard rice,,american garden,jams spreads honey | branded food,flavor:rice,"standard,rice"
vlcc body ltn almond spf15 350ml,5 350m,vlcc,skin care | beauty personal care,flavor:almond,"body,almond"
mazaana chocolate almonds dates 100g,100g,chocolate,chocolates cakes confectioneries | branded food,flavor:almonds,"almonds,dates"
park avenue deo body voyage 100g,100g,park avenue,deos perfumes | beauty personal care,,"deo,body,voyage"
patanjali anardana churan 100g,100g,patanjali,otc | beauty personal care,,
patanjali cows ghee 200ml,200ml,patanjali,edible oil ghee | grocery,,cow
patanjali coconut biscuit 100g,100g,patanjali,biscuits cookies crackers | branded food,flavor:coconut,"coconut,biscuit"
patanjali instant noodle classic pp 60g,60g,patanjali,noodles pastas vermicelli | branded food,,noodle
patanjali lemon pickle 400g,400g,patanjali,pickles chutneys | branded food,flavor:lemon flavor:pickle,"lemon,pickle"
pampers baby diaper large 18p,18p,pampers,baby care | baby care,type:diaper,"diaper,large"
tide det pow pls talcum freshnes pp 500g,500g,tide,skin care | beauty personal care,type:talcum,"det,pow,pls,talcum"
tilda brown basmati rice jr 1kg,1kg,tilda,organic grains | grocery,flavor:rice color:brown flavor:basmati,"brown,basmati,rice"
red bull energy drink 4*250ml,4*250m,red bull,fruit juices drinks | beverages,,"energy,drink"
kissan squash pineapple bt 700ml,700ml,kissan,jams spreads honey | branded food,flavor:pineapple flavor:squash,"squash,pineapple"
frooti nectar gift pack 6*160ml,6*160m,frooti,baby care | baby care,,"nectar,gift,pack"
colonel & co hot cheese nacho crisps 60g,60g,colonel & co,chips namkeens snacks | branded food,flavor:nacho flavor:cheese type:crisps color:hot,"hot,cheese,crisps"
chings instant soup tomato pp 15g,15g,chings secret,ready to eat | branded food,flavor:soup,"instant,soup"
brijnandan ni namk navratra mixture 200g,200g,,toys | toys stationery,,mixture
kuppies orange cake with choco chips 4pk,4p,kuppies,chips namkeens snacks | branded food,flavor:orange color:orange flavor:choco,"orange,cake"
rasna 32 gls mango,32 gls,rasna,chocolates cakes confectioneries | branded food,flavor:mango,mango
xalta sft drnk jeera bt 250ml,250ml,xalta ,masala spices | grocery,flavor:jeera,
lijjat papad punj mn 200g,200g,lijjat,ready to fry | branded food,flavor:papad,
cadbury choco temptn cashew 72g,72g,cadbury,chocolates cakes confectioneries | branded food,flavor:cashew flavor:choco,cashew
london dairy icecrm dbl choclt cup 125ml,125ml,london dairy,ice cream desserts | branded food,,cup
real juice bread gift pack box nepal 2*1l,2*1l,real,fruit juices drinks | beverages,flavor:bread flavor:juice,"juice,bread,gift,pack,box,nepal"
sach tbrush super white soft 2+1,,sach,toys | toys stationery,color:white,"super,white,soft"
ts color cotton ball 50p,50p,ts,stationery | toys stationery,color:color flavor:cotton,"color,cotton,ball"
epigamia yogurt greek mulberry cup 90g,90g,epigamia,toys | toys stationery,type:yogurt flavor:mulberry flavor:yogurt,"yogurt,greek,mulberry,cup"
raw pressery glow 250 ml,250 ml,raw pressery,chips namkeens snacks | branded food,color:glow,glow
24 lm primium brown basmati rice pp 1kg,24 lm,brown & polson,organic grains | grocery,flavor:rice flavor:basmati,"basmati,rice"
24 lm masoor whole pp 500g,24 lm,,masala spices | grocery,flavor:masoor,whole
fresh n pure tea signature blend pp 250g,250g,fresh & pure,tea coffee | beverages,,blend
ts travel bottle set pack of 2 sa70838,2 s,ts,otc | beauty personal care,,"travel,bottle,pack"
hersheys smart cook tomato puree 200g,200g,hersheys,sauces puree dips | branded food,flavor:tomato,"smart,cook,tomato"
kara face wipes tea tree&neem 10p,10p,kara,tea coffee | beverages,,"face,wipe"
harpic toilt clnr lemon 500ml,500ml,harpic,home cleaning | home hygiene,flavor:lemon,lemon
crmt plain lami pp small round 25n17cm,5n17cm,,cleaning accessories | home hygiene,,"plain,mall,round"
veet hair rem crm brightn senstv dry 50g,50g,veet,hair care | beauty personal care,,"rem,dry"
dettol shav cream cool 60g,60g,dettol,personal hygiene | beauty personal care,flavor:cream type:cream,"cream,cool"
unibic cookies choco ripple pp 100g,100g,unibic,biscuits cookies crackers | branded food,flavor:choco,ripple
vijaya sunflower oil pp 1l,1l,vijaya,edible oil ghee | grocery,flavor:sunflower,sunflower
vijaya groundnut oil pp 1l,1l,vijaya,organic edible oil fats | grocery,flavor:groundnut,groundnut
unibic cookie choco nut pp 75g,75g,unibic,biscuits cookies crackers | branded food,flavor:choco,"cookie,nut"
298 gala bathroom wiper,298 g,gala,cleaning accessories | home hygiene,,"bathroom,wiper"
lipton clear green lemon zest tea bag 10pcs,10pcs,lipton,tea coffee | beverages,flavor:lemon type:bag color:green,"clear,green,lemon,zest,bag"
yummiez frozen veg party pack pp 600g,600g,yummiez,frozen veg | branded food,,"party,pack"
diet foods soya bhel 200g,200g,diet foods,organic flours | grocery,flavor:soya flavor:bhel,soya
mortein rat killer 100g,100g,mortein,deos perfumes | beauty personal care,,"rat,killer"
vaseline intensive care advanced repair body lotion 100 ml,100 ml,vaseline,skin care | beauty personal care,type:lotion,"intensive,advanced,repair,body,lotion"
eastern pow spice chilli pp 250g,250g,eastern,masala spices | grocery,flavor:chilli,"pow,spice,chilli"
desi atta dahi vada mix 200g,200g,desi atta company,baking dessert mixes | branded food,flavor:dahi flavor:vada,mix
desi atta singharachestnut pp 200g,200g,desi atta company,ready to eat | branded food,,
ektaa soya wadi bx 200g,200g,ektaa,chocolates cakes confectioneries | branded food,flavor:soya,"soya,wadi"
haldiram squash badam 700m,700m,haldirams,chips namkeens snacks | branded food,flavor:squash flavor:badam,squash
johnsons smp act kds shiny drops bt 100m,100m,johnsons,toys | toys stationery,color:shiny,"smp,act,kds,shiny,drops"
colin glass clnr refill pp 1l,1l,colin,home cleaning | home hygiene,,"gla,refill"
desi atta co oats idli mix pp 200g,200g,desi atta company,breakfast cereals | branded food,flavor:idli flavor:oats,"oats,mix"
brijnandan namk daal bizi pp 400g,400g,,baby care | baby care,flavor:daal,
ektaa makai poha pp 500g,500g,ektaa,chocolates cakes confectioneries | branded food,flavor:poha,
badshah pow spice chilli pp 200g,200g,badshah,chips namkeens snacks | branded food,flavor:chilli,"pow,spice,chilli"
monginis cake sws roll strawberry 100g,100g,monginis,otc | beauty personal care,flavor:strawberry,"cake,roll,strawberry"
haldiram bhujia masala pp 42g48g,42g48g,haldiram mopleez,chips namkeens snacks | branded food,,
himalaya gentle baby bath 200ml,200ml,himalaya,baby care | baby care,type:bath,"gentle,bath"
mcvities digestive 4*100g,4*100g,mcvities,biscuits cookies crackers | branded food,,
pooof cream fld cake strawbery pp 40g,40g,pooof!,chocolates cakes confectioneries | branded food,flavor:cream type:cream,"cream,cake"
britania crm bsct treat vanilla pp 150g,150g,tasty treat,chocolates cakes confectioneries | branded food,flavor:vanilla,vanilla
britannia nc heavens cranberrie&oats 60g,60g,britannia,biscuits cookies crackers | branded food,,heaven
dabur hairoil amla 90ml,90ml,dabur,otc | beauty personal care,flavor:amla,
loreal hrclr cstng crm dark brwn 400m,400m,loreal paris,hair care | beauty personal care,color:dark,dark
pepsodent triple clean toothbrush medium 1pc,1p,pepsodent,oral care | beauty personal care,type:toothbrush color:clean,"triple,clean,toothbrush,medium"
elvir dahi dessert light cranbry 125g,125g,golden harvest,chocolates cakes confectioneries | branded food,color:light flavor:dahi flavor:dessert,"dessert,light"
elvir dahi dessert light prune 125g,125g,golden harvest,chocolates cakes confectioneries | branded food,color:light flavor:prune flavor:dahi flavor:dessert,"dessert,light,prune"
nature valley apple crunch,,nature valley,mineral water soda | beverages,flavor:apple,"apple,crunch"
parachute advnsd men hc anti dandrf 100g,100g,parachute,hair care | beauty personal care,,"men,anti"
english oven chocolate fudge bunfils 30g,30g,english oven,chocolates cakes confectioneries | branded food,flavor:fudge flavor:chocolate type:chocolate,"chocolate,fudge"
patanjali sundry alo vr gel ksr cndn 60m,60m,patanjali,otc | beauty personal care,type:gel,"sundry,gel"
parle cream biscuit hide n seek bourbon 60g,60g,parle,biscuits cookies crackers | branded food,flavor:cream type:cream,"cream,biscuit,hide,seek,bourbon"
baker street maska khari 150g,150g,baker street,toys | toys stationery,,
nilons parampara mango pickle 1kg,1kg,nilons,pickles chutneys | branded food,flavor:pickle flavor:mango,"mango,pickle"
nilons sauce chopstic chilli bottle 680g,680g,nilons,sauces puree dips | branded food,flavor:chilli flavor:sauce,"sauce,chilli,bottle"
nilons sauce orgnl soya bottle 220g,220g,nilons,sauces puree dips | branded food,flavor:soya flavor:sauce,"sauce,soya,bottle"
zorabian frz chicken reshmi 250g,250g,zorabian,ready to eat | branded food,flavor:chicken,chicken
baker street multigrain bt rusk pp 200g,200g,baker street,chips namkeens snacks | branded food,flavor:multigrain flavor:rusk,rusk
patanjali soyabean oil bt 1l,1l,patanjali,edible oil ghee | grocery,flavor:soyabean,soyabean
parle cb h&s black bourbon 3*100g op,3*100g,parle,biscuits cookies crackers | branded food,color:black,"black,bourbon"
ph moong dal pp 500g,500g,premium harvest,dry fruits | grocery,flavor:dal flavor:moong,dal
mccain french fries smiles pp 1.25g,1.25g,mccain,frozen veg | branded food,flavor:fries,"french,fries,smiles"
vita fc milk 500 ml,500 ml,vita,chocolates cakes confectioneries | branded food,flavor:milk,milk
vita std milk 500 ml,500 ml,vita,chocolates cakes confectioneries | branded food,flavor:milk,"std,milk"
bhpc deo body fragrance 1 women cn 150ml,1 wom,body line,deos perfumes | beauty personal care,type:fragrance,"deo,fragrance"
bblunt hr cl sal sec natural black 1,,bblunt,deos perfumes | beauty personal care,color:black,"sal,sec,natural,black"
maggi inst pasta pazta macron cheese 70g,70g,maggi,noodles pastas vermicelli | branded food,flavor:cheese flavor:pasta,"inst,pasta,cheese"
fresco eggs brown 10 pack,10 p,fresco egg,sauces puree dips | branded food,color:brown,"brown,ack"
lakme facewash bag lemon gel tb 100g,100g,lakme,skin care | beauty personal care,type:gel flavor:lemon type:bag,"bag,lemon,gel"
wingreens sauce bhut sriracha tb 100g,100g,wingreens,sauces puree dips | branded food,flavor:sauce flavor:sriracha,sauce
mother dairy dahi toned milk cup 200g,200g,mother dairy,chocolates cakes confectioneries | branded food,flavor:dahi flavor:milk,"toned,milk,cup"
cremica goldn bytes mix nuts pp 66g,66g,cremica,otc | beauty personal care,,"byte,mix,nut"
j&j baby talc pow 50g,50g,baby,baby care | baby care,type:talc,"talc,pow"
j&j baby soap 3*100g,3*100g,baby,baby care | baby care,type:soap,soap
ariel det powder complete pp 1kg,1kg,ariel,laundry | home hygiene,,"det,powder,complete"
desi atta co upwas parantha atta pp 200g,200g,desi atta company,baby care | baby care,flavor:parantha,
dove conditioner daily shine 80ml,80ml,dove,hair care | beauty personal care,type:conditioner,"conditioner,daily,shine"
ektaa ujjaini poha pp 1kg,1kg,ektaa,chocolates cakes confectioneries | branded food,flavor:poha,
skore condom banana dot&clr bx 10p,10p,skore,otc | beauty personal care,flavor:banana,"condom,banana"
sour punk stick strawberry candy 40g,40g,sourpunk,chocolates cakes confectioneries | branded food,flavor:candy flavor:strawberry,"sour,punk,stick,strawberry,candy"
kinder joy chocolate for boys 20g,20g,kinder joy,chocolates cakes confectioneries | branded food,flavor:chocolate type:chocolate,"chocolate,boys"
