,filtered,quantity,final_brand,class1,class2
48,del  prunes california prem pp,210g,del monte,Canned & Tinned Food,Branded Food
49,cadbury  raisin nut chocolate,80g,bournville,"Chocolates, Cakes & Confectioneries",Branded Food
50,caf,,grandos,"Chocolates, Cakes & Confectioneries",Branded Food
51,flvr milk energy bt,200ml,panchamrit,Soft Drinks,Beverages
52,icecrm ntrl stwbry cp,125ml,london dairy,Ice cream & Desserts,Branded Food
53,juice pvc bag indian gift pack,3*1l,real,Fruit Juices & Drinks,Beverages
54,of india redymelnavrtnkorma,285g,kitchens of india,Pickles & Chutneys,Branded Food
55,dnu  tortilla chips chilli,150g,salsalito,"Chips, Namkeens & Snacks",Branded Food
56,namk meetha chatpata  gp,776g g,bikano,"Chips, Namkeens & Snacks",Branded Food
57,ph urad chilka pp,500g,,"Chocolates, Cakes & Confectioneries",Branded Food
58,fry n eat papad triangle,150g,easy choice,Baking & Dessert Mixes,Branded Food
59,mr  all purp kitchen trigger 500m,,mr muscle,Home Cleaning,Home & Hygiene
60,frz snk vegie brgr patty pp,360g,mccains,Toys,Toys & Stationery
61,opp pocket comb,,,Home Cleaning,Home & Hygiene
62,mr  glass & househld cleanr 500m,,mr muscle,Home Cleaning,Home & Hygiene
63,complete active e anti dandruff shampoo 80 ml,80 ml,clear,Hair Care,Beauty &Personal Care
64,clean&dry body wash intimate bt,90ml,clean and dry,Skin Care,Beauty &Personal Care
65,microfiber multipurpose gloves,,prim,Cleaning Accessories,Home & Hygiene
66,gm  moong tawa chilla pp,400g,food bazaar,Masala & Spices,Grocery
67,gm  bedmi chatni longi pp,100g,food bazaar,Masala & Spices,Grocery
68,deo urge man cn,150ml,engage,Deos & Perfumes,Beauty &Personal Care
69,gh daily rajma cra we,1kg,mr.white,Toys,Toys & Stationery
70,gh daily urad dal prem,500g,,"Chocolates, Cakes & Confectioneries",Branded Food
71,bournvita  lil champ health drink jar,200g,cadbury,Health Drinks,Beverages
72,gh who  black cardamm,20g,old spice,Freshners & Repellents,Home & Hygiene
73,gh daily who  rai,100g,old spice,Freshners & Repellents,Home & Hygiene
74,nourishing soft & smooth conditioner 80 ml,80 ml,sunsilk,Hair Care,Beauty &Personal Care
75,mayb lip smooth balm berry crush,4.5g,,Skin Care,Beauty &Personal Care
76,sauce tomato,200g,maggi,Dals & Pulses,Grocery
77,chocolates value pack pp,171g,bounty,"Chocolates, Cakes & Confectioneries",Branded Food
78,frozen pop corn bonless,250g,delicious,Frozen Veg,Branded Food
79,frozen nuggets classic,500g,delicious,Frozen Veg,Branded Food
80,basmati rice pulav pp,1kg,daawat,Organic Grains,Grocery
81,dawat basmati rice biryani pp,1kg,,Organic Grains,Grocery
82,desi atta bhagar shamak varai pp,200g,desi atta company,Frozen Veg,Branded Food
83,desi atta rava dosa pp,500g,desi atta company,Frozen Veg,Branded Food
84,shmp actv kids sft&smth bt 100m,,johnsons,Toys,Toys & Stationery
85,desi atta co peri peri idli mix pp,200g,desi atta company,Frozen Veg,Branded Food
86,haldiram  lemon bhel pp,150g,namkeen tree,"Chips, Namkeens & Snacks",Branded Food
87,shmp regenerati repair tube,240ml,dove,Hair Care,Beauty &Personal Care
88,wa ice crm tuti frty 700m  op,1+1 op,kwality walls,Ice cream & Desserts,Branded Food
89,kw magnum chotruffle 90m,,,Toys,Toys & Stationery
90,imported  cranberry & raspberry,20pcs,twinings,"Chocolates, Cakes & Confectioneries",Branded Food
91,imported  blackcurrant burst,20pcs,twinings,Tea & Coffee,Beverages
92,tea bag green tea jasmine,25pcs,twinings,Tea & Coffee,Beverages
93,sandal & cream soap bar  g,100 g,lux,Skin Care,Beauty &Personal Care
94,lemon tea bag 25,25 pcs,dilmah,Tea & Coffee,Beverages
95,cheese spread spicy pepper,180g,nilgiris,"Sauces, Puree & Dips",Branded Food
96,wafer biscuit pineapple waffy,,,"Biscuits, Cookies & Crackers",Branded Food
97,work out choco classic m,50g,ritebite,Breakfast Cereals,Branded Food
98,butter cashew biscuit bx,100g,nilgiris,"Chocolates, Cakes & Confectioneries",Branded Food
99,deo perfumed passion spray cn,122ml,he,Deos & Perfumes,Beauty &Personal Care
