cleaned,quantity,final_brand,class1,class2,type,cleaned_more,get_cleaned
 bdy ltn int cr hlthy w lgh 40m,,vaseline,toys,toys stationery,, bdy ltn int cr hlthy w lgh 40m,['int']
 napkin dinner paper plain ,50s,beeta,stationery,toys stationery,napkin, dinner paper plain ,"['dinner', 'paper', 'plain']"
 apple drink ,250ml,appy fizz,soft drinks,beverages,apple, drink ,['drink']
 peach passion ,10.7g,tic tac,chocolates cakes confectioneries,branded food,peach, passion ,['passion']
vrka pio botls stbry,,,toys,toys stationery,,vrka pio botls stbry,['pio']
 drink black diet cola can ,250ml,pepsi,soft drinks,beverages,black, drink diet cola can ,"['drink', 'diet', 'cola']"
 chicken satay flavour ,85g,koka,noodles pastas vermicelli,branded food,chicken, satay flavour ,"['satay', 'flavour']"
 milk gold pp ,1l,gowardhan,chocolates cakes confectioneries,branded food,milk, gold pp ,['gold']
 cand juzt jelly mango ,185g,alpenliebe,chocolates cakes confectioneries,branded food,jelly mango, cand juzt ,[]
 prunes california prem pp ,210g,del monte,canned tinned food,branded food,prunes, california prem pp ,"['california', 'prem']"
cadbury raisin nut chocolate ,80g,bournville,chocolates cakes confectioneries,branded food,chocolate raisin,cadbury nut ,"['cadbury', 'nut']"
 caf,,grandos,chocolates cakes confectioneries,branded food,, caf,['caf']
 flvr milk energy bt ,200ml,panchamrit,soft drinks,beverages,milk, flvr energy bt ,['energy']
 crm ntrl stwbry cp ,125ml,london dairy,ice cream desserts,branded food,, crm ntrl stwbry cp ,[]
 juice pvc bag indian gift pack ,3*1l,real,fruit juices drinks,beverages,pvc bag juice, indian gift pack ,"['indian', 'gift', 'pack']"
 redymelnavrtnkorma,285g,kitchens of india,pickles chutneys,branded food,, redymelnavrtnkorma,[]
dnu tortilla chilli ,150g,salsalito,chips namkeens snacks,branded food,chilli tortilla,dnu ,[]
 namk meetha chatpata p,776g g,bikano,chips namkeens snacks,branded food,, namk meetha chatpata p,[]
ph urad chilka pp ,500g,,chocolates cakes confectioneries,branded food,urad,ph chilka pp ,[]
 fry n eat papad triangle ,150g,easy choice,baking dessert mixes,branded food,papad, fry n eat triangle ,"['fry', 'eat', 'triangle']"
 all purp kitchen trigger 500m,,mr muscle,home cleaning,home hygiene,, all purp kitchen trigger 500m,"['kitchen', 'trigger']"
 frz snk vegie brgr patty pp ,360g,mccains,toys,toys stationery,patty vegie, frz snk brgr pp ,[]
opp pocket comb,,,home cleaning,home hygiene,pocket,opp comb,"['opp', 'comb']"
 glass & househld cleanr 500m,,mr muscle,home cleaning,home hygiene,, glass & househld cleanr 500m,['glass']
 complete active anti dandruff shampoo ,80 ml,clear,hair care,beauty personal care,, complete active anti dandruff shampoo ,"['complete', 'active', 'anti', 'dandruff', 'shampoo']"
& body wash intimate bt ,90ml,clean and dry,skin care,beauty personal care,,& body wash intimate bt ,"['body', 'wash', 'intimate']"
 microfiber multipurpose gloves,,prim,cleaning accessories,home hygiene,gloves microfiber, multipurpose ,['multipurpose']
gm moong tawa chilla pp ,400g,food bazaar,masala spices,grocery,tawa moong,gm chilla pp ,[]
gm bedmi chatni longi pp ,100g,food bazaar,masala spices,grocery,,gm bedmi chatni longi pp ,[]
 deo urge man cn ,150ml,engage,deos perfumes,beauty personal care,, deo urge man cn ,"['deo', 'urge', 'man']"
gh daily rajma chitra white ,1kg,mr.white,skin care,beauty personal care,rajma chitra white,gh daily ,['daily']
gh daily urad dal prem ,500g,,chocolates cakes confectioneries,branded food,dal urad,gh daily prem ,"['daily', 'prem']"
 bournvita lil champ drink jar ,200g,cadbury,health drinks,beverages,, bournvita lil champ drink jar ,"['lil', 'champ', 'drink', 'jar']"
gh who black cardamm ,20g,old spice,freshners repellents,home hygiene,black,gh who cardamm ,[]
gh daily who rai ,100g,old spice,freshners repellents,home hygiene,,gh daily who rai ,"['daily', 'rai']"
 nourishing soft & smooth conditioner ,80 ml,sunsilk,hair care,beauty personal care,, nourishing soft & smooth conditioner ,"['nourishing', 'soft', 'smooth', 'conditioner']"
mayb lip smooth balm berry crush ,4.5g,,skin care,beauty personal care,berry,mayb lip smooth balm crush ,"['lip', 'smooth', 'balm', 'crush']"
 sauce tomato ,200g,maggi,dals pulses,grocery,sauce tomato, ,[]
 value pack pp ,171g,bounty,chocolates cakes confectioneries,branded food,, value pack pp ,"['value', 'pack']"
 pop corn bonless ,250g,delicious,frozen veg,branded food,corn, pop bonless ,['pop']
 nuggets classic ,500g,delicious,frozen veg,branded food,, nuggets classic ,"['nuggets', 'classic']"
 basmati rice pulav pp ,1kg,daawat,organic grains,grocery,rice basmati, pulav pp ,[]
dawat basmati rice biryani pp ,1kg,,organic grains,grocery,biryani rice basmati,dawat pp ,[]
 bhagar shamak varai pp ,200g,desi atta company,chocolates cakes confectioneries,branded food,, bhagar shamak varai pp ,[]
 rava dosa pp ,500g,desi atta company,baby food,baby care,dosa rava, pp ,[]
johnsons shmp actv kids sft&smth bt 100m,,,toys,toys stationery,,johnsons shmp actv kids sft&smth bt 100m,"['johnsons', 'kids']"
 co peri peri idli mix pp ,200g,desi atta company,chips namkeens snacks,branded food,idli, co peri peri mix pp ,"['peri', 'peri', 'mix']"
 namkeen lemon bhel pp ,150g,haldiram s,chips namkeens snacks,branded food,lemon bhel namkeen, pp ,[]
 shmp regenerative repair tube ,240ml,dove,hair care,beauty personal care,, shmp regenerative repair tube ,"['regenerative', 'repair', 'tube']"
 wa crm tuti frty 700m ,1+1 op,kwality walls,ice cream desserts,branded food,, wa crm tuti frty 700m ,[]
kw magnum chotruffle 90m,,,toys,toys stationery,,kw magnum chotruffle 90m,['magnum']
imported cranberry & raspberry ,20pcs,twinings,chocolates cakes confectioneries,branded food,cranberry raspberry,imported & ,['imported']
imported blackcurrant burst ,20pcs,twinings,tea coffee,beverages,blackcurrant,imported burst ,"['imported', 'burst']"
 bag green jasmine ,25pcs,twinings,tea coffee,beverages,green bag jasmine, ,[]
 sandal & cream soap bar ,100 g,lux,skin care,beauty personal care,cream sandal, & soap bar ,"['soap', 'bar']"
 lemon bag ,25 pcs,dilmah,tea coffee,beverages,lemon bag, ,[]
 cheese spread spicy pepper ,180g,nilgiris,sauces puree dips,branded food,cheese spicy pepper, spread ,['spread']
wafer biscuit pineapple waffy,,,biscuits cookies crackers,branded food,pineapple,wafer biscuit waffy,"['wafer', 'biscuit']"
 work out choco classic m,50g,ritebite,breakfast cereals,branded food,choco, work out classic m,"['work', 'classic']"
 butter cashew biscuit bx ,100g,nilgiris,chocolates cakes confectioneries,branded food,cashew butter, biscuit bx ,['biscuit']
 deo perfumed passion spray cn ,122ml,he,deos perfumes,beauty personal care,, deo perfumed passion spray cn ,"['deo', 'perfumed', 'passion', 'spray']"
cop loose jowar ,,premium,dry fruits,grocery,jowar,cop loose ,"['cop', 'loose']"
crmt face tissue box 20cmx20cm 2ply,100p,,stationery,toys stationery,,crmt face tissue box 20cmx20cm 2ply,"['face', 'tissue', 'box']"
crmt hw rose pp ,180ml,,otc,beauty personal care,,crmt hw rose pp ,['rose']
 mad angle tomato madness pp ,140g,bingo,chips namkeens snacks,branded food,tomato, mad angle madness pp ,"['mad', 'angle', 'madness']"
rambandhu pow chilli powdr pp ,200g,old spice,freshners repellents,home hygiene,chilli,rambandhu pow powdr pp ,['pow']
crmt dlx roll y *60p,2 pl,sangi s kitchen,toys,toys stationery,,crmt dlx roll y *60p,['roll']
fb avocado hass,,,home cleaning,home hygiene,avocado,fb hass,[]
 deo spray play ,150ml,cinthol,deos perfumes,beauty personal care,, deo spray play ,"['deo', 'spray', 'play']"
sofrsh vd ml batter dosa ,1kg,,otc,beauty personal care,dosa,sofrsh vd ml batter ,['batter']
 g can veg blk olive pitted ,450g,american garden,pickles chutneys,branded food,veg olive, g can blk pitted ,['pitted']
 readymix punjbi yakhni pulav ,50g,shan,otc,beauty personal care,, readymix punjbi yakhni pulav ,[]
 readymix mutton biryani ,60g,shan,baking dessert mixes,branded food,mutton biryani, readymix ,[]
 coconut water pomegrant ,500ml,foco,fruit juices drinks,beverages,coconut, water pomegrant ,['water']
 wow maxi xl ,5s,vwash,home cleaning,home hygiene,, wow maxi xl ,"['wow', 'maxi']"
 ndl hakka egg ,200g,wai wai,noodles pastas vermicelli,branded food,egg, ndl hakka ,[]
 icecrm mango marvel tb ,1l,mother dairy,pickles chutneys,branded food,mango, icecrm marvel tb ,['marvel']
 mild handwash 1+1 750m,,santoor,oral care,beauty personal care,, mild handwash 1+1 750m,['mild']
 snk salted peanuts pp ,500g,tong garden,chips namkeens snacks,branded food,peanuts, snk salted pp ,['salted']
mothers rec preserve gingr past bt ,200g,,jams spreads honey,branded food,,mothers rec preserve gingr past bt ,"['mothers', 'rec', 'preserve', 'past']"
 veg fryum sago potat chkli gc ,200g,arohi,toys,toys stationery,veg sago, fryum potat chkli gc ,[]
 shrikhand elaichi tub ,500g,amul,ice cream desserts,branded food,elaichi, shrikhand tub ,['tub']
 plain lassi ,200ml,amul,frozen veg,branded food,lassi, plain ,['plain']
 choco miniatures pp op,2*150g,snickers,chocolates cakes confectioneries,branded food,choco, miniatures pp op,['miniatures']
gh jaggery round ,1kg,,laundry,home hygiene,jaggery,gh round ,['round']
ttrt snk olive&jalepeno pizza ,1p,frozen,frozen veg,branded food,pizza,ttrt snk olive&jalepeno ,[]
 namk black pepper peanut pp ,200g,tasty treat,frozen veg,branded food,peanut pepper black, namk pp ,[]
 namk chana pp ,200g,tasty treat,masala spices,grocery,chana, namk pp ,[]
 toasted suji bread ,63g,tasty treat,frozen veg,branded food,suji bread, toasted ,['toasted']
 wafer vanilla pp ,25g,tasty treat,chocolates cakes confectioneries,branded food,vanilla, wafer pp ,['wafer']
 sweet rasgulla tin ,1kg,tasty treat,canned tinned food,branded food,, sweet rasgulla tin ,"['sweet', 'tin']"
 shine protect stylin el ,75 g,brylcreem,hair care,beauty personal care,stylin, shine protect el ,"['shine', 'protect']"
 cond ub recious herb bt 17ml,5 p,garnier,skin care,beauty personal care,herb, cond ub recious bt 17ml,[]
 readymix egg curry pp ,50g,aachi,masala spices,grocery,curry egg, readymix pp ,[]
 deo whitening fruity touch ,150ml,nivea,skin care,beauty personal care,fruity, deo whitening touch ,"['deo', 'whitening', 'touch']"
 liq con brahmi badam bt ,750ml,hitkary,toys,toys stationery,badam, liq con brahmi bt ,['con']
 gel + crm bdws bk & almnd bt 200m,,fiama di wills,skin care,beauty personal care,, gel + crm bdws bk & almnd bt 200m,['gel']
sangis ktcn mustard bt ,220g,american garden,jams spreads honey,branded food,mustard,sangis ktcn bt ,[]
 marie light biscuit ,200g,sunfeast,biscuits cookies crackers,branded food,light, marie biscuit ,"['marie', 'biscuit']"
 dark fantasy choco fills ,75g,sunfeast,biscuits cookies crackers,branded food,dark choco, fantasy fills ,"['fantasy', 'fills']"
 yipee mood masala poly pack ,280g,sunfeast,noodles pastas vermicelli,branded food,, yipee mood masala poly pack ,"['mood', 'masala', 'poly', 'pack']"
 instant pasta sour cream onion ,70g,sunfeast,noodles pastas vermicelli,branded food,cream pasta onion, instant sour ,"['instant', 'sour']"
head & sho shmp lemon antidn ,80ml,soo fresh,home cleaning,home hygiene,lemon,head & sho shmp antidn ,"['head', 'sho']"
 drd frt cranberries whole pp ,75g,rostaa,frozen veg,branded food,cranberries, drd frt whole pp ,['whole']
" fruit shoot, strawberry & raspberry ",300ml,robinsons,chocolates cakes confectioneries,branded food,strawberry raspberry fruit," shoot, & ",[]
 shower gel thermal spa ,250ml,palmolive,skin care,beauty personal care,, shower gel thermal spa ,"['shower', 'gel', 'thermal', 'spa']"
 jam pineapple fruit bt ,430g,chabaa,fun drink mix,beverages,pineapple fruit, jam bt ,['jam']
 refined soya tin,15kg,chambal,edible oil ghee,grocery,soya, refined tin,"['refined', 'tin']"
ttrt pasta conchiglie pp ,500g,,noodles pastas vermicelli,branded food,pasta,ttrt conchiglie pp ,[]
ttrt pickle mixed ,1kg,,pickles chutneys,branded food,pickle,ttrt mixed ,['mixed']
 det pow advance ,1kg,rin,chocolates cakes confectioneries,branded food,, det pow advance ,"['det', 'pow', 'advance']"
l- mo abut,,ong s,chocolates cakes confectioneries,branded food,,l- mo abut,['abut']
 soap total1 ,0 125g,lifebuoy,skin care,beauty personal care,, soap total1 ,['soap']
jack peeled,,fruit,fruit juices drinks,beverages,,jack peeled,"['jack', 'peeled']"
 chana sprout pkd,,exo,biscuits cookies crackers,branded food,sprout chana, pkd,[]
l-parmal standard rice,,american garden,jams spreads honey,branded food,rice,l-parmal standard ,['standard']
 body ltn almond spf1 30ml,5 350ml,vlcc,skin care,beauty personal care,almond, body ltn spf1 30ml,['body']
mazaana almonds dates ,100g,chocolate,chocolates cakes confectioneries,branded food,almonds,mazaana dates ,['dates']
 deo body voyage ,100g,park avenue,deos perfumes,beauty personal care,, deo body voyage ,"['deo', 'body', 'voyage']"
 anardana churan ,100g,patanjali,otc,beauty personal care,, anardana churan ,[]
 cows ,200ml,patanjali,edible oil ghee,grocery,, cows ,['cows']
 coconut biscuit ,100g,patanjali,biscuits cookies crackers,branded food,coconut, biscuit ,['biscuit']
 instant noodle classic pp ,60g,patanjali,noodles pastas vermicelli,branded food,, instant noodle classic pp ,"['instant', 'noodle', 'classic']"
 lemon pickle ,400g,patanjali,pickles chutneys,branded food,lemon pickle, ,[]
 diaper large ,18p,pampers,baby care,baby care,diaper, large ,['large']
 det pow pls talcum freshnes pp ,500g,tide,skin care,beauty personal care,, det pow pls talcum freshnes pp ,"['det', 'pow', 'pls', 'talcum']"
 brown basmati rice jr ,1kg,tilda,organic grains,grocery,rice brown basmati, jr ,[]
 energy drink ,4*250ml,red bull,fruit juices drinks,beverages,, energy drink ,"['energy', 'drink']"
 squash pineapple bt ,700ml,kissan,jams spreads honey,branded food,pineapple squash, bt ,[]
 nectar gift pack ,6*160ml,frooti,baby care,baby care,, nectar gift pack ,"['nectar', 'gift', 'pack']"
 hot cheese nacho crisps ,60g,colonel & co,chips namkeens snacks,branded food,cheese nacho, hot crisps ,"['hot', 'crisps']"
chings instant soup ma pp ,15g,,ready to eat,branded food,soup,chings instant ma pp ,['instant']
brijnandan ni namk navratra mixture ,200g,,toys,toys stationery,,brijnandan ni namk navratra mixture ,['mixture']
 orange cake with choco k,4p,kuppies,chips namkeens snacks,branded food,orange choco, cake with k,['cake']
 mango,32 gls,rasna,chocolates cakes confectioneries,branded food,mango, ,[]
 sft drnk jeera bt ,250ml,xalta ,chips namkeens snacks,branded food,jeera, sft drnk bt ,[]
 papad punj mn ,200g,lijjat,ready to fry,branded food,papad, punj mn ,[]
 choco temptn cashew ,72g,cadbury,chocolates cakes confectioneries,branded food,cashew choco, temptn ,[]
 crm dbl choclt cup ,125ml,london dairy,ice cream desserts,branded food,, crm dbl choclt cup ,['cup']
 juice bread gift pack box nepal ,2*1l,real,fruit juices drinks,beverages,bread juice, gift pack box nepal ,"['gift', 'pack', 'box', 'nepal']"
 tbrush super white soft 2+1,,sach,toys,toys stationery,white, tbrush super soft 2+1,"['super', 'soft']"
 color cotton ball ,50p,ts,stationery,toys stationery,color cotton, ball ,['ball']
 yogurt greek mulberry cup ,90g,epigamia,toys,toys stationery,yogurt mulberry, greek cup ,"['greek', 'cup']"
 glow ,250 ml,raw pressery,chips namkeens snacks,branded food,glow, ,[]
 m primium basmati rice pp 1kg,24 l,brown & polson,organic grains,grocery,rice basmati, m primium pp 1kg,[]
 m masoor whoe pp 500g,24 l,,stationery,toys stationery,masoor, m whoe pp 500g,[]
 n signature blend pp ,250g,fresh & pure,tea coffee,beverages,, n signature blend pp ,"['signature', 'blend']"
 travel bottle et pack of a70838,2 s,ts,otc,beauty personal care,, travel bottle et pack of a70838,"['travel', 'bottle', 'pack']"
hersheys smart cook tomato ,200g,,sauces puree dips,branded food,tomato,hersheys smart cook ,"['smart', 'cook']"
 face wipes tree&neem ,10p,kara,tea coffee,beverages,, face wipes tree&neem ,"['face', 'wipes']"
 toilt clnr lemon ,500ml,harpic,home cleaning,home hygiene,lemon, toilt clnr ,[]
crmt plain lami pp small round 25n17cm,,,cleaning accessories,home hygiene,,crmt plain lami pp small round 25n17cm,"['plain', 'small', 'round']"
 rem crm brightn senstv dry ,50g,veet,hair care,beauty personal care,, rem crm brightn senstv dry ,"['rem', 'dry']"
 shav cream cool ,60g,dettol,personal hygiene,beauty personal care,cream, shav cool ,['cool']
 choco ripple pp ,100g,unibic,biscuits cookies crackers,branded food,choco, ripple pp ,['ripple']
 sunflower pp ,1l,vijaya,edible oil ghee,grocery,sunflower, pp ,[]
 groundnut pp ,1l,vijaya,organic edible oil fats,grocery,groundnut, pp ,[]
 cookie choco nut pp ,75g,unibic,biscuits cookies crackers,branded food,choco, cookie nut pp ,"['cookie', 'nut']"
 bathroom wiper,298 g,gala,cleaning accessories,home hygiene,, bathroom wiper,"['bathroom', 'wiper']"
 clear green lemon zest bag ,10pcs,lipton,tea coffee,beverages,green lemon bag, clear zest ,"['clear', 'zest']"
 party pack pp ,600g,yummiez,frozen veg,branded food,, party pack pp ,"['party', 'pack']"
 soya bhel ,200g,diet foods,organic flours,grocery,bhel soya, ,[]
 rat killer ,100g,mortein,deos perfumes,beauty personal care,, rat killer ,"['rat', 'killer']"
 intensive advanced repair body lotion ,100 ml,vaseline,skin care,beauty personal care,, intensive advanced repair body lotion ,"['intensive', 'advanced', 'repair', 'body', 'lotion']"
 pow spice chilli pp ,250g,eastern,masala spices,grocery,chilli, pow spice pp ,"['pow', 'spice']"
 dahi vada mix ,200g,desi atta company,baking dessert mixes,branded food,vada dahi, mix ,['mix']
 singhara chestnut pp ,200g,desi atta company,chocolates cakes confectioneries,branded food,chestnut, singhara pp ,[]
 soya wadi bx ,200g,ektaa,chocolates cakes confectioneries,branded food,soya, wadi bx ,['wadi']
 quah badam 700m,,haldiram s,chips namkeens snacks,branded food,badam, quah 700m,[]
johnsons smp kds shiny drops bt 100m,,act ii,chips namkeens snacks,branded food,shiny,johnsons smp kds drops bt 100m,"['johnsons', 'smp', 'kds', 'drops']"
 glass clnr refill pp ,1l,colin,home cleaning,home hygiene,, glass clnr refill pp ,"['glass', 'refill']"
 co oats idli mix pp ,200g,desi atta company,breakfast cereals,branded food,oats idli, co mix pp ,['mix']
brijnandan namk daal bizi pp ,400g,,baby care,baby care,daal,brijnandan namk bizi pp ,[]
 makai poha pp ,500g,ektaa,chocolates cakes confectioneries,branded food,poha, makai pp ,[]
 pow spice chilli pp ,200g,badshah,chips namkeens snacks,branded food,chilli, pow spice pp ,"['pow', 'spice']"
 cake sws roll strawberry ,100g,monginis,otc,beauty personal care,strawberry, cake sws roll ,"['cake', 'roll']"
 bhujia maala pp 48g,42g,haldiram s,chips namkeens snacks,branded food,, bhujia maala pp 48g,[]
 gentle bath ,200ml,himalaya,baby care,baby care,, gentle bath ,"['gentle', 'bath']"
mcvities digestive ,4*100g,,biscuits cookies crackers,branded food,,mcvities digestive ,"['mcvities', 'digestive']"
pooof cream fld cake strawbery pp ,40g,pooof!,chocolates cakes confectioneries,branded food,cream,pooof fld cake strawbery pp ,['cake']
britania crm bsct vanilla pp ,150g,tasty treat,chocolates cakes confectioneries,branded food,vanilla,britania crm bsct pp ,[]
 nc heavens cranberrie&oats ,60g,britannia,biscuits cookies crackers,branded food,, nc heavens cranberrie&oats ,['heavens']
 hairoil amla ,90ml,dabur,otc,beauty personal care,amla, hairoil ,[]
loreal hrclr cstng crm dark brwn 400m,,,baby care,baby care,dark,loreal hrclr cstng crm brwn 400m,[]
 triple clean toothbrush medium c,1p,pepsodent,oral care,beauty personal care,, triple clean toothbrush medium c,"['triple', 'clean', 'toothbrush', 'medium']"
elvir dahi dessert light cranbry ,125g,,home cleaning,home hygiene,light dessert dahi,elvir cranbry ,[]
elvir dahi dessert light prune ,125g,,home cleaning,home hygiene,light prune dessert dahi,elvir ,[]
 apple crunch,,nature valley,mineral water soda,beverages,apple, crunch,['crunch']
 advnsd men hc anti dandrf ,100g,parachute,hair care,beauty personal care,, advnsd men hc anti dandrf ,"['men', 'anti']"
 chocolate fudge bunfils ,30g,english oven,chocolates cakes confectioneries,branded food,chocolate fudge, bunfils ,[]
 sundry alo vr gel ksr cndn 60m,,patanjali,toys,toys stationery,, sundry alo vr gel ksr cndn 60m,"['sundry', 'gel']"
 cream biscuit hide n seek bourbon ,60g,parle,biscuits cookies crackers,branded food,cream, biscuit hide n seek bourbon ,"['biscuit', 'hide', 'seek', 'bourbon']"
 maska khari ,150g,baker street,toys,toys stationery,, maska khari ,[]
nilons parampara pickle ,1kg,three mango,pickles chutneys,branded food,pickle,nilons parampara ,[]
nilons sauce chopstic chilli bottle ,680g,,sauces puree dips,branded food,chilli sauce,nilons chopstic bottle ,['bottle']
nilons sauce orgnl soya bottle ,220g,,sauces puree dips,branded food,sauce soya,nilons orgnl bottle ,['bottle']
 frz chicken reshmi ,250g,zorabian,ready to eat,branded food,chicken, frz reshmi ,[]
 multigrain bt rusk pp ,200g,baker street,chips namkeens snacks,branded food,rusk multigrain, bt pp ,[]
 soyabean bt ,1l,patanjali,edible oil ghee,grocery,soyabean, bt ,[]
 cb h&s black bourbon op,3*100g,parle,biscuits cookies crackers,branded food,black, cb h&s bourbon op,['bourbon']
ph moong dal pp ,500g,,chips namkeens snacks,branded food,moong dal,ph pp ,[]
 french fries smiles pp ,1.25g,mccain,frozen veg,branded food,fries, french smiles pp ,"['french', 'smiles']"
 fc milk ,500 ml,vita,chocolates cakes confectioneries,branded food,milk, fc ,[]
 std milk ,500 ml,vita,chocolates cakes confectioneries,branded food,milk, std ,['std']
bhpc deo fragrance 1 women cn ,150ml,body line,deos perfumes,beauty personal care,,bhpc deo fragrance 1 women cn ,"['deo', 'fragrance', 'women']"
 hr cl sal sec natural black 1,,bblunt,deos perfumes,beauty personal care,black, hr cl sal sec natural 1,"['sal', 'sec', 'natural']"
 inst pasta pazta macron cheese ,70g,maggi,noodles pastas vermicelli,branded food,cheese pasta, inst pazta macron ,['inst']
 s brown ack,10 p,fresco egg,sauces puree dips,branded food,brown, s ack,['ack']
 facewash bag lemon gel tb ,100g,lakme,skin care,beauty personal care,lemon bag, facewash gel tb ,['gel']
 sauce bhut sriracha tb ,100g,wingreens,sauces puree dips,branded food,sriracha sauce, bhut tb ,[]
 dahi toned milk cup ,200g,mother dairy,chocolates cakes confectioneries,branded food,milk dahi, toned cup ,"['toned', 'cup']"
 goldn bytes mix nuts pp ,66g,cremica,otc,beauty personal care,nuts, goldn bytes mix pp ,"['bytes', 'mix']"
j&j talc pow ,50g,baby,baby care,baby care,,j&j talc pow ,"['talc', 'pow']"
j&j soap ,3*100g,baby,baby care,baby care,,j&j soap ,['soap']
 det powder complete pp ,1kg,ariel,laundry,home hygiene,, det powder complete pp ,"['det', 'powder', 'complete']"
 co upwas parantha pp ,200g,desi atta company,baby care,baby care,parantha, co upwas pp ,[]
 conditioner daily shine ,80ml,dove,hair care,beauty personal care,, conditioner daily shine ,"['conditioner', 'daily', 'shine']"
 ujjaini poha pp ,1kg,ektaa,chocolates cakes confectioneries,branded food,poha, ujjaini pp ,[]
 condom banana dot&clr bx ,10p,skore,otc,beauty personal care,banana, condom dot&clr bx ,['condom']
sour punk strawberry candy ,40g,fevi stick,stationery,toys stationery,strawberry candy,sour punk ,"['sour', 'punk']"
 chocolate for boys ,20g,kinder joy,chocolates cakes confectioneries,branded food,chocolate, for boys ,['boys']
 det pow natural lemon&chandan ,125g,tide,stationery,toys stationery,, det pow natural lemon&chandan ,"['det', 'pow', 'natural']"
